phys	rec.rate	upper	lower
0.05	5.12936799282285	6.4658981418105	3.48938936272326
0.15	5.03133144743537	6.36101370704977	3.50341245114515
0.25	4.97192571680402	6.26187800257454	3.54684642467591
0.35	4.91264498275901	6.11833276649587	3.60188265208438
0.45	4.84856433030869	5.97624714271637	3.60665154720706
0.55	4.79026703275466	5.83927881544236	3.65010189609208
0.65	4.74758236240926	5.70793468228261	3.72405552516627
0.75	4.71006123183465	5.56721993783529	3.76922507445579
0.85	4.67770364103085	5.43285393162532	3.82221544716627
0.95	4.6462857139048	5.3169305119173	3.8857359563784
1.05	4.59218570040074	5.19959079878275	3.9066496493241
1.15	4.52183374682418	5.06478736971659	3.95575117102507
1.25	4.45588611280471	4.94443512386595	3.99111755890223
1.35	4.40724500863538	4.85051249391968	3.94827979170302
1.45	4.37591043431619	4.7813928638244	3.82162720025403
1.55	4.35069927117986	4.75196754858098	3.66102616379643
1.65	4.29311608298375	4.7031711183553	3.51595817128212
1.75	4.20475545949744	4.70150950217357	3.41553435489383
1.85	4.12411469119621	4.74584794641686	3.19711613834829
1.95	4.09198283739059	4.8183931361746	3.02052706622469
2.05	4.10835989808058	4.9084218132459	2.93727673639472
2.15	4.10611005906831	4.94846169319866	2.93541334672126
2.25	4.10380768547439	5.01296226459015	2.95784338228911
2.35	4.1847385034478	5.11947703289098	3.12571230320615
2.45	4.34469878755154	5.22767003732979	3.29818441175047
2.55	4.40899972408685	5.25493723749264	3.49204995613477
2.65	4.46822347989496	5.31916920927305	3.65358157287395
2.75	4.64926985750855	5.38587481660168	3.90242494682562
2.85	4.83647868136745	5.48791026755666	4.20430260284841
2.95	5.09564556525844	5.62588323909399	4.5373500703247
3.05	5.34615791206477	5.76332362019377	4.77447887007694
3.15	5.60927235984862	5.95564180847939	5.03339727004642
3.25	5.82982701789409	6.23593501038323	5.28398135951855
3.35	6.06179504019283	6.52650609283888	5.57383762156903
3.45	6.31370150633796	6.75015670726557	5.87364304186575
3.55	6.58397948395108	7.07140928854438	6.1572533793436
3.65	6.83315198378344	7.34774400860682	6.44358844339352
3.75	7.07407882399976	7.62029623119512	6.74516918168813
3.85	7.33439161002519	7.89138470109198	6.94399134502734
3.95	7.53868316364922	8.05491186582286	7.14308672017971
4.05	7.74356583260214	8.25590356603002	7.32786528252183
4.15	7.9375259349592	8.52038505249426	7.43761783195414
4.25	8.10023077608883	8.84881420844471	7.56401389494409
4.35	8.27407532806089	9.08677680826643	7.68703654879787
4.45	8.44774257911989	9.30765891487836	7.70700326741105
4.55	8.62275151344116	9.56835397294989	7.79203977305101
4.65	8.81408850182818	9.82277058357269	7.84359361548757
4.75	8.99779037605623	10.0617451239972	8.05079922349048
4.85	9.17350187442551	10.2546557118129	8.45470304100193
4.95	9.45049731606621	10.4178149881174	8.81549434550704
5.05	9.77452280510551	10.7048302009061	9.0379914533514
5.15	9.92028415156237	10.9990670828242	9.14658881049302
5.25	10.0476372944722	11.110516181423	9.17774562193856
5.35	10.332314993039	11.5031916524433	9.15873992781789
5.45	10.3845527117096	11.7490986897925	9.10790945753272
5.55	10.3700338195902	11.9236571175425	8.91192225473304
5.65	10.4633342405026	12.1431602744753	8.89191304463254
5.75	10.5408648965356	12.4834175186052	8.98868979585529
5.85	10.2399637875528	11.9022358897801	8.8070235181622
5.95	9.59476342943435	10.9622238638498	8.31370275255412
6.05	9.02330752793111	10.2026774673126	7.94164433145011
6.15	8.5336515149911	9.59165807954796	7.51871301271911
6.25	8.00661208218611	9.07599858464843	6.98187107673786
6.35	7.47419884026709	8.42942492203414	6.50347726271726
6.45	6.84312312409773	7.81650980934815	5.87355823265398
6.55	6.24952937873853	7.37199103040895	5.20346300847394
6.65	5.70924865936755	6.98892992461577	4.56653051215203
6.75	5.22687069250153	6.74356799554281	4.05704535095279
6.85	4.95250482959077	6.48707672538122	3.70744920209424
6.95	4.71504909850435	6.26157984037491	3.54820352989033
7.05	4.66323296836705	6.02951782803955	3.50281041585885
7.15	4.81421506547816	5.84841373979636	3.64135436750164
7.25	4.77832643196351	5.64380154873339	3.8041739980058
7.35	4.83488001623948	5.44726254421233	3.97082857192325
7.45	4.85626131430665	5.40722258064406	4.0201910993145
7.55	4.90532140917178	5.47027652181126	4.10164294115481
7.65	4.91021139143472	5.54601070600618	4.17220852680773
7.75	4.91212959423992	5.61521511280453	4.17283270683525
7.85	4.89843321942755	5.67067855905525	4.10985506418519
7.95	4.83877924566218	5.72326023526008	4.03900257650202
8.05	4.74637051895132	5.63441219562753	3.90519837723145
8.15	4.65577330473562	5.50414959369204	3.77153138554848
8.25	4.51025873723756	5.40709589495551	3.66200926670324
8.35	4.30475748202526	5.07448673641825	3.58530042548483
8.45	4.04409883931489	4.66280876842559	3.49453789184744
8.55	3.81032907550101	4.40894056528573	3.35549152930108
8.65	3.61428939912876	4.1658232043103	3.1792472277908
8.75	3.4284286419011	3.9198582686421	3.00857461020304
8.85	3.23272556530001	3.65410821058721	2.85356403351906
8.95	3.03006197127827	3.41748271616685	2.65073192116619
9.05	2.83632588656651	3.19288640247537	2.43977519595906
9.15	2.64775272526581	3.01630706846293	2.25908572700015
9.25	2.46607765008809	2.89045952106999	1.99131119709779
9.35	2.32100919675371	2.77895192616989	1.79839463425517
9.45	2.17493280632763	2.67878673086441	1.59834286480404
9.55	2.05411732101747	2.56839349727378	1.45897965763864
9.65	1.96281417794154	2.47021048377956	1.3396877495096
9.75	1.9010233770999	2.38264229924759	1.26288686028426
9.85	1.83963020079789	2.30488719402988	1.17868009084026
9.95	1.78615768033119	2.22678919630256	1.0579028438313
10.05	1.71249802289397	2.11446957514338	0.945393663017339
10.15	1.62828835040917	2.04132885812843	0.81396582082265
10.25	1.55551253942264	1.97052238933304	0.710677674906274
10.35	1.49417058993446	1.89596892504206	0.569156455418758
10.45	1.43971112606936	1.83174969355532	0.502430242088121
10.55	1.38813480218941	1.78230763736361	0.532452669119662
10.65	1.34387873539224	1.76121424798868	0.529910005409718
10.75	1.30696778417814	1.73011642286671	0.541821984770863
10.85	1.27570880878638	1.70135340383157	0.558038455746203
10.95	1.23657784806932	1.62805633071749	0.601912657820954
11.05	1.19907220642061	1.55721783371039	0.639402040575485
11.15	1.16630102791229	1.50138304131468	0.663136691955171
11.25	1.13826431254431	1.44136526880938	0.650185510471002
11.35	1.11496206031674	1.41239542814198	0.657382806205858
11.45	1.09639427122953	1.387577188308	0.635087533521575
11.55	1.08256094528267	1.38193743890595	0.627325412225705
11.65	1.06103004081452	1.35754503351491	0.621269422021607
11.75	1.02842715853801	1.28950935967119	0.609760620281307
11.85	0.999003689667001	1.23602731146467	0.622069493619222
11.95	0.972787433631167	1.20088151428623	0.636912784904258
12.05	0.949778390430502	1.16425044570684	0.639743329776031
12.15	0.929976560064999	1.14809973516828	0.625093508267594
12.25	0.913381942534674	1.1424403623156	0.593039275506725
12.35	0.893045825025719	1.13832285042116	0.564894053219765
12.45	0.861162987558168	1.10185871838556	0.558615886464953
12.55	0.830509550393153	1.08032458504945	0.53858958568475
12.65	0.801461183891021	1.05348462881426	0.517425120853067
12.75	0.774017888051766	1.03282011650622	0.483757150298889
12.85	0.748179662875393	1.01952168575827	0.462759891988959
12.95	0.7239465083619	1.02402898013755	0.447689873934573
13.05	0.701318424511276	1.02262770180855	0.433684529262172
13.15	0.680295411323553	1.02665506687586	0.414767203921093
13.25	0.660877468798705	1.01239436534859	0.393202040586604
13.35	0.643064596936748	0.997831359817908	0.376380414577527
13.45	0.626856795737646	0.995063567218148	0.366266205202512
13.55	0.612254065201446	0.97629561522878	0.343827428582225
13.65	0.599256405328125	0.971931909606899	0.328475497397613
13.75	0.587863816117678	0.9793908339576	0.311638569518857
13.85	0.578076297570136	0.951225026008445	0.296424204895444
13.95	0.569893849685438	0.930953850729297	0.286727766885938
14.05	0.563316472463645	0.926877547552278	0.285154813887269
14.15	0.558344165904725	0.901574607610614	0.268640803770896
14.25	0.55497693000871	0.890426226873394	0.260879587014693
14.35	0.55321476477555	0.860862111664097	0.259738027679393
14.45	0.546097750665743	0.831266163941732	0.260989551625875
14.55	0.534048583797525	0.804275415943567	0.250303756062111
14.65	0.525350771372791	0.783770605116254	0.241878493292528
14.75	0.520009036635621	0.774504471877527	0.238505523114648
14.85	0.517930860822451	0.757888084399561	0.228022450280382
14.95	0.509808765102012	0.754900265611751	0.219624992519525
15.05	0.497927556471392	0.7395294202756	0.21337118776733
15.15	0.488189868250466	0.73557038088257	0.213038646913932
15.25	0.480595700439156	0.744202769680041	0.214758342249056
15.35	0.475145053037555	0.73783690323832	0.215304266674086
15.45	0.471837926045541	0.718510186155814	0.226555303904281
15.55	0.470674319463244	0.703715645832837	0.224183310168995
15.65	0.471363815653643	0.692354769909214	0.223053277787337
15.75	0.465237383804057	0.686429564408755	0.227678144231898
15.85	0.456446087348046	0.682887259373141	0.228134803823836
15.95	0.449017713771255	0.679316132595391	0.23719767337379
16.05	0.442952263073601	0.670962801272075	0.240652004219262
16.15	0.438249735255162	0.6634429839948	0.241438733293876
16.25	0.434910130315884	0.664935498309732	0.249459459239452
16.35	0.432933448255815	0.659244775071565	0.248803475710362
16.45	0.432319689074886	0.657568560201579	0.254405101804375
16.55	0.43306885277316	0.655455095829838	0.259372324551091
16.65	0.43518093935061	0.652904381956217	0.261149799872699
16.75	0.438655948807243	0.648849519497853	0.258365024247938
16.85	0.44349388114306	0.648642170135458	0.258024024384278
16.95	0.449694736358058	0.641513712119742	0.256724592697609
17.05	0.457258514452219	0.640296048567441	0.257159329550676
17.15	0.46615244561352	0.638755231877722	0.258502819139798
17.25	0.469366417473318	0.638410578088214	0.258683952011804
17.35	0.465549694789713	0.633079321094374	0.259599009705671
17.45	0.46098644066318	0.633553617185803	0.253877084082262
17.55	0.456960297072576	0.629064177321368	0.257127168379657
17.65	0.453471264017998	0.628944760957018	0.261768653533123
17.75	0.450519341499289	0.627465439755342	0.265806999988342
17.85	0.448104529516526	0.622595506749327	0.271542065741936
17.95	0.44622682806971	0.619448830696325	0.277904034245709
18.05	0.444886237158875	0.615002978573065	0.282880453229188
18.15	0.444082756783928	0.612965904067795	0.284774343691045
18.25	0.443816386944911	0.609560080990265	0.28887291677638
18.35	0.444087127641885	0.605976560564132	0.2842130891884
18.45	0.444894978874766	0.606371848036263	0.277414654629681
18.55	0.4462399406436	0.600375119951895	0.274137757794037
18.65	0.448122012948335	0.598286618634721	0.268859585668244
18.75	0.450541195789082	0.590364888321295	0.267693463006665
18.85	0.45349748916572	0.582476987585537	0.265983595080215
18.95	0.456656863962183	0.582353319710838	0.25427606458881
19.05	0.45647422464653	0.585587538152324	0.247666418452402
19.15	0.455507664711953	0.590503867493608	0.243884383147791
19.25	0.454809203954055	0.592843623285378	0.21873985284902
19.35	0.454378842372754	0.597066395252459	0.213581695054798
19.45	0.454216579968073	0.597765343604531	0.206690666002244
19.55	0.454316596877914	0.596019035262282	0.203200730410169
19.65	0.452502676119404	0.597349318158648	0.199986365958934
19.75	0.448907180683042	0.602383299505638	0.19101055688252
19.85	0.445171760115465	0.607546267097925	0.176283849268729
19.95	0.441296414416711	0.608476686865606	0.168227795131489
20.05	0.43728114358677	0.60443071057958	0.163660347896804
20.15	0.433125947625641	0.596476402400386	0.146763742895759
20.25	0.428830826533258	0.58956971107866	0.139219541042839
20.35	0.424395780309754	0.573858419148149	0.127880485405944
20.45	0.419820808955031	0.566957644983274	0.122662837434603
20.55	0.414838911178061	0.554285742107442	0.117419122075884
20.65	0.406017075278313	0.558130938618363	0.0981762955677259
20.75	0.396094663007396	0.556035184380256	0.0691576942186917
20.85	0.386316065351055	0.554972425493202	0.0463654641362468
20.95	0.37668128230932	0.5554437051711	0.0425265397727897
21.05	0.367190313882168	0.548599885639678	0.0398836242037101
21.15	0.357843160069613	0.535683699709854	0.0239051894934012
21.25	0.348639820871653	0.52515533394206	0.00791626460151579
21.35	0.339137928031756	0.520470418163997	0
21.45	0.326883595335186	0.523303027854544	0
21.55	0.314621189796252	0.523886463955499	0
21.65	0.302955957675826	0.525392240502462	0
21.75	0.291887898973925	0.52834893434239	0
21.85	0.281417013690515	0.526388187875401	0
21.95	0.271543301825631	0.526092879581853	0
22.05	0.262266763379229	0.524569471591569	0
22.15	0.25358739835135	0.520502017038001	0
