phys	rec.rate	upper	lower
0.05	NA	NA	NA
0.15	NA	NA	NA
0.25	NA	NA	NA
0.35	3.72930478845395	4.02468560954667	3.43521494038173
0.45	3.66723363636548	3.96902050671131	3.38560991842306
0.55	3.60022035941642	3.88284932446913	3.32926921945442
0.65	3.53367236089867	3.79691406565566	3.27538637268779
0.75	3.46819793961607	3.70879539383228	3.22351308575597
0.85	3.40361903031147	3.62743216150457	3.17648814603267
0.95	3.33993001549195	3.54984483050014	3.12658017846644
1.05	3.27713089515753	3.47932768406279	3.07678974133078
1.15	3.21522166930819	3.40490441718009	3.02934653077339
1.25	3.15420233794393	3.3310361290013	2.98086427488111
1.35	3.09407290106477	3.25276329904023	2.93047149936487
1.45	3.03483335867069	3.18046374004627	2.88088684389141
1.55	2.9764837107617	3.10918131507402	2.83124943996653
1.65	2.9190239573378	3.04376919727545	2.77748834460629
1.75	2.86245409839899	2.98198922618022	2.72693683066425
1.85	2.80677413394526	2.92219970695814	2.68067463509587
1.95	2.75198406397663	2.86576514480665	2.63122193793031
2.05	2.69640391209534	2.80686147101905	2.56543845879047
2.15	2.57499379150388	2.7357231632577	2.30352453933186
2.25	2.39636878110132	2.66730432722142	1.9424652022337
2.35	2.19492893556501	2.54294373234489	1.59601493781793
2.45	2.04732715672271	2.42459649005955	1.44202020705921
2.55	1.95721483344017	2.34535373104537	1.42107904787328
2.65	1.92053599939151	2.2878456422594	1.52739070559231
2.75	1.93828839664406	2.25609212317303	1.61791793136248
2.85	1.99351441017033	2.33226374662574	1.71833589678449
2.95	2.08577931598102	2.50729399561015	1.80606176887024
3.05	2.20373655172101	2.68688204921683	1.90537070752799
3.15	2.33945693674515	2.89945798247021	2.0118015054127
3.25	2.49533736830637	3.01240623319286	2.134492748822
3.35	2.66185379225653	3.20608747703717	2.25947231777222
3.45	2.77501754680066	3.26736641142894	2.30454388049411
3.55	2.84804644630314	3.28773659188918	2.35711786933307
3.65	2.93096567101196	3.39867039004485	2.41100206857269
