phys	rec.rate	upper	lower
0.05	NA	NA	NA
0.15	1.46045465318976	1.58896322712624	1.3357837104715
0.25	1.46036327955169	1.58842756685865	1.33544609629776
0.35	1.45911006254779	1.58717310235668	1.3343722701471
0.45	1.45779729960779	1.58548219816727	1.33330701525729
0.55	1.45641304632642	1.58380786586227	1.33224420479658
0.65	1.45503440189608	1.58213672157563	1.33118900388947
0.75	1.45366136631678	1.58046876530708	1.33014141253588
0.85	1.45229393958851	1.57880399705677	1.32910143073583
0.95	1.4509321217113	1.57714241682471	1.32806905848937
1.05	1.44957591268511	1.57548402461075	1.3270442957964
1.15	1.44822531250996	1.57382882041507	1.32602714265704
1.25	1.44688032118585	1.57217680423751	1.3250175990712
1.35	1.44554093871276	1.57052797607816	1.32401566503889
1.45	1.44420716509073	1.56888233593711	1.32302134056014
1.55	1.44287900031972	1.56723988381413	1.32203462563498
1.65	1.44155644439976	1.56560061970943	1.32105552026335
1.75	1.44023949733083	1.56396454362293	1.32008402444522
1.85	1.43892815911294	1.56233165555458	1.31912013818069
1.95	1.43762242974608	1.56070195550445	1.31816386146969
2.05	1.43632230923027	1.55907544347251	1.31721519431224
2.15	1.43502779756549	1.5574521194588	1.31627413670835
2.25	1.43373889475174	1.55585101304696	1.31534068865802
2.35	1.43245560078903	1.5542679154444	1.31441485016121
2.45	1.43117791567736	1.55268913516895	1.31349662121795
2.55	1.42990583941673	1.55111467222076	1.31258600182828
2.65	1.42863937200714	1.54954452659981	1.31168299199211
2.75	1.42737851344857	1.547978698306	1.31073115479301
2.85	1.42612326374106	1.54637367257277	1.30974856780996
2.95	1.42487362288457	1.54476024418385	1.30877200073639
3.05	1.42362959087912	1.54314973401532	1.30785635348607
3.15	1.42239116772471	1.54154214206715	1.30700077323114
3.25	1.42115835342134	1.53993746833926	1.30615384059849
3.35	1.419931147969	1.53833571283169	1.30531781525346
3.45	1.4187095513677	1.53673687554456	1.30449054706772
3.55	1.41749356361744	1.53514095647762	1.303671908783
3.65	1.41628318471821	1.5335479556312	1.30286190039909
3.75	1.41507841467003	1.53195787300492	1.30206052191619
3.85	1.41387925347287	1.5303707085991	1.3012677733342
