phys	rec.rate	upper	lower
0.5	NA	NA	NA
1.5	7.70501950173899	8.19218804091763	6.89317885815793
2.5	4.89603913139734	5.56952931550865	4.25765964899037
3.5	2.16249059764237	2.76653699056468	1.48183583524649
4.5	1.40585158218447	2.16536420697418	0.652621962815815
5.5	3.09862455578543	3.72673167227622	2.48155158508772
6.5	4.71309437973151	5.31129712926852	4.0731632315702
7.5	6.59315672889053	7.35753743159755	5.91989709324928
8.5	4.88930501841468	5.51484154057345	4.25511993748698
9.5	5.25609997079403	5.69677827100886	4.83276220292235
10.5	7.24815992028902	7.76468504018963	6.78658660533766
11.5	6.5234548053122	6.94898194966949	6.16016620327285
12.5	4.20410690117055	4.63059051330589	3.80515103988994
13.5	2.85249744740906	3.13191393865713	2.58095946713254
14.5	2.66263799372417	2.91388580842088	2.37760198985663
15.5	3.02424513125503	3.44651372894584	2.62623122783715
16.5	5.39969522224871	5.9048784053817	4.93677629301066
17.5	7.12091293495589	7.76549522741669	6.54551194361909
18.275	6.20983181552694	7.68525692599767	4.37832867332459
