phys	rec.rate	upper	lower
0.5	NA	NA	NA
1.5	NA	NA	NA
2.5	NA	NA	NA
3.5	NA	NA	NA
4.5	NA	NA	NA
5.5	NA	NA	NA
6.5	NA	NA	NA
7.5	NA	NA	NA
8.5	NA	NA	NA
9.5	NA	NA	NA
10.5	NA	NA	NA
11.5	NA	NA	NA
12.5	1.47177776230192	1.72718376369428	1.23576373929509
13.5	1.465598118839	1.70018144824505	1.24956868044078
14.5	1.45664208857252	1.66447038787544	1.26353552338361
15.5	1.44456337278312	1.63015253075721	1.27405506746766
16.5	1.43059671806111	1.58774048552429	1.27650304937558
17.5	1.41521851968353	1.55545623167133	1.28209478107585
18.5	1.40556526214692	1.52941337515197	1.28998187981537
19.5	1.39640065906531	1.50074601475711	1.29440716286662
20.5	1.39128332778743	1.48608148682518	1.29761737729311
21.5	1.38434056847341	1.47122349488196	1.28126704963812
22.5	1.37309834566428	1.46785422619916	1.24701988215978
23.5	1.36144684629282	1.46650318302262	1.21840016333928
24.5	1.35600897387832	1.47272665707687	1.19659911435216
25.5	1.35597360247	1.48508461121819	1.19282900448108
26.5	1.36898260754764	1.49635301042477	1.18730181200755
27.5	1.39666262705592	1.51090706415911	1.22057468500687
28.5	1.43746363847137	1.53428677955424	1.26557565260904
29.5	1.48432523638694	1.61824948781745	1.32786147852477
30.5	1.53918719724108	1.69340143072826	1.39602275168213
31.5	1.60769960146352	1.78233414038857	1.46585224020805
32.5	1.68503143731066	1.88219111257432	1.5191563501533
33.5	1.75598898507322	1.98200544402217	1.5718344117397
34.5	1.80432078919911	2.02772288891718	1.60708530162485
35.5	1.79795324055355	2.04613226079139	1.59160263708113
36.5	1.77382442001156	1.99012044824824	1.58559590225351
37.5	1.71989265872401	1.88916275173187	1.57309563357949
38.5	1.64038670751099	1.79968532361529	1.53596854609926
39.5	1.60524580658816	1.74704260249248	1.47184217002529
40.5	1.55770253244421	1.70251881446643	1.39886996983649
41.5	1.49358595653515	1.62260821156739	1.36670364130872
42.5	1.41859049569576	1.5272101663988	1.32234946248326
43.5	1.35462591074702	1.4641846754416	1.24849764486496
44.5	1.30192547035559	1.41644312876179	1.19590696580396
45.5	1.26084475725596	1.35722278506575	1.15928812280899
46.5	1.22415576517341	1.31498988428716	1.134210861155
47.5	1.19151784091893	1.26999863048077	1.09922484746555
48.5	1.15185666802196	1.22984949423988	1.05803536821471
