phys	rec.rate	upper	lower
0.05	4.48400860995546	6.47327998502082	3.19635937377602
0.15	4.5828954566991	6.45441725095792	3.37671034394111
0.25	4.63625279627101	6.21649244773864	3.49916689889473
0.35	4.6423508981631	5.92285507543766	3.64984394655373
0.45	4.63968273268004	5.5444328830692	3.79328716946067
0.55	4.6048652973834	5.30805525385853	3.89843421123823
0.65	4.40500846753159	5.19679374794492	3.65601431167017
0.75	3.91835842200106	4.69975365723237	3.20434076951305
0.85	3.17170910992668	3.76008006924568	2.55900105855977
0.95	2.33551707601066	2.96214320350386	1.79536790945231
1.05	1.59711260075073	2.3555290796307	1.08841495600444
1.15	1.05386101371736	1.80966786991285	0.605640113455646
1.25	0.733694226750205	1.28580393321562	0.34993072120398
1.35	0.631621947678264	1.01837170428612	0.300677833186126
1.45	0.708893105426956	1.04425588360035	0.385091974921173
1.55	0.907884635539488	1.37580892767048	0.539454294926917
1.65	1.19686170219532	1.85492725879384	0.775937557091554
1.75	1.57858275368136	2.35493872365621	1.08047591130858
1.85	2.05738285563664	2.79970538469063	1.42902295588361
1.95	2.57673727578651	3.22644112632145	1.78735028769631
2.05	2.98155018386206	3.76258466406685	2.07838170908907
2.15	3.09835774255282	4.00276869306217	2.23004789073327
2.25	2.8874288529183	3.63084094921097	2.16507085281835
2.35	2.52475346406608	3.22503314922148	1.67393268764393
2.45	2.27445858906871	3.11958138026495	1.35310437154485
2.55	2.28909211106969	3.21338942574488	1.49569164095334
2.65	2.5292148331945	3.34293801305214	1.90335942510796
2.75	2.83005230301051	3.53198424043108	2.19999057869803
2.85	3.05173281059067	3.67853658119081	2.37180947189108
2.95	3.17153516955475	3.75389144764115	2.53351609037362
3.05	3.24317420745716	3.80738944944351	2.6982464360531
3.15	3.32435131520064	3.86647876358457	2.82143658754012
3.25	3.42079723666582	3.92214689017547	2.90156825857327
3.35	3.46765689126642	3.98940496343509	2.93236929177528
3.45	3.39356868734388	3.8757126335912	2.82977445797993
3.55	3.15646472525943	3.6535749113636	2.60257333388441
3.65	2.78600782445258	3.32518989165896	2.25795191561834
3.75	2.39509360952652	3.01884422219943	1.88368503392922
3.85	2.13707533743911	2.8784669599073	1.58318168143648
3.95	2.13900045037591	2.91921716354268	1.5568586152187
4.05	2.41891758470359	3.0936541677964	1.90327585609298
4.15	2.88289010253065	3.39741766835893	2.33421297638872
4.25	3.35064442285912	3.87232961835274	2.64689104534747
4.35	3.64611157581393	4.24331945060943	2.77523187400931
4.45	3.67224786022251	4.23322104008632	2.81222037174155
4.55	3.43179490280971	3.86716938451635	2.74959610438598
4.65	3.03520127894638	3.54677609142723	2.48874563975129
4.75	2.62898018032443	3.28574560861536	2.07858341651642
4.85	2.35699116093624	3.15283182246411	1.66388623013702
4.95	2.33335419858215	3.16069487804847	1.55050311056455
5.05	2.59362551450659	3.3583540612626	1.8459935200316
5.15	3.08066816744346	3.82369877492907	2.45874849487224
5.25	3.6613076503291	4.49374310673906	2.90812188367671
5.35	4.25097027099308	5.20719698537427	3.40258771842006
5.45	4.81795823401038	5.84710121843969	3.91194424070759
5.55	5.26373495777262	6.36594236645683	4.21493039316841
5.65	5.46458842277992	6.53433541636266	4.41477122447303
5.75	5.30583434178003	6.25630465861116	4.36491103998834
5.85	4.73272288758232	5.41992687534519	3.96026840676988
5.95	3.88562676281161	4.58897929793594	2.92863269337127
6.05	3.02141798286637	3.90991648232906	1.98555894027668
6.15	2.31338585621305	3.27892670174171	1.46612315188698
6.25	1.80401798405934	2.67717074899394	1.11869227336739
6.35	1.46556538883976	2.23272083946864	0.879117781684573
6.45	1.30109279736614	1.99294842846268	0.72050322829523
6.55	1.36459436929784	2.18989286710539	0.74284490552024
6.65	1.69552435084044	2.61145938297972	0.981534527002178
6.75	2.28885224476871	3.07119605536633	1.52529810295418
6.85	3.058309588579	3.66943832334407	2.35219691545603
6.95	3.79386845350293	4.45563711715823	3.05788078044778
7.05	4.2433905607342	4.9902195639866	3.29767327009257
7.15	4.29255204351025	5.071578739433	3.37118925954628
7.25	3.98654164735511	4.67127467842523	3.17526815604085
7.35	3.46205026831367	4.15081461970709	2.79143692696783
7.45	2.86744667112059	3.65141158065815	2.32114009201366
7.55	2.28961230191361	2.93651824204922	1.78989090595342
7.65	1.80087012819503	2.41825534121598	1.33428548957781
7.75	1.47776329445154	2.09409546279096	0.982354985383164
7.85	1.36781487438302	2.04282520506044	0.808222826384015
7.95	1.50319298145832	2.16226892642034	0.91410050428394
8.05	1.88802465377337	2.47668430400916	1.2897140923549
8.15	2.45114314532236	3.06703306173751	1.87724328381115
8.25	3.07496494288731	3.73871964568886	2.43574930868802
8.35	3.68777713171102	4.33581135082629	2.98028234893521
8.45	4.25045104223847	4.87290628934193	3.58135923934144
8.55	4.68816122611399	5.35841368093897	3.98055546416704
8.65	4.96196569599903	5.74176741581451	4.13399362029049
8.75	5.08964837539908	5.94328020117415	4.1821290066399
8.85	5.10887325542218	5.90382166397163	4.29551282456664
8.95	5.09602049847715	5.76225605596779	4.34293078476882
9.05	5.08985499575762	5.65306848210259	4.5594192339113
9.15	5.03188936105744	5.67459044192766	4.50779114734807
9.25	4.89100242672067	5.60487285765548	4.24475003371486
9.35	4.70582996036117	5.4776048792146	4.00439803018871
9.45	4.51840837492745	5.27282803176238	3.81551314378554
9.55	4.36927123785116	5.04736768676018	3.70203322805501
9.65	4.25974015011725	4.85187674579131	3.70117944289406
9.75	4.12393755406159	4.67834042569767	3.66285116511203
9.85	3.88277448437204	4.3829537051735	3.39260898275821
9.95	3.55205324873776	4.05775104022009	2.89772096989322
10.05	3.20235227836583	3.77240713059458	2.50570832402714
10.15	2.8289042497461	3.40847989214727	2.18172336862686
10.25	2.38330838904183	2.8934971285643	1.85748959204188
10.35	1.84072463609259	2.23098934428527	1.37489325404392
10.45	1.24257040642383	1.60257676005675	0.834810331198186
10.55	0.6871341280467	1.10917277408363	0.303561635689408
10.65	0.254977458454485	0.688307543808195	0
10.75	0	0.385180737998313	0
10.85	0	0.220642367474288	0
10.95	0	0.284546569014943	0
11.05	0.0474643949107953	0.549838965700228	0
11.15	0.334284990821385	0.837895620751076	0
11.25	0.721789274913354	1.17038711188931	0.272068002402677
11.35	1.14139230634286	1.52045277218621	0.680073987069513
11.45	1.48470732924848	1.90467807114299	1.00213766336173
11.55	1.64709702817435	2.10335640830044	1.18592912372123
11.65	1.62815218797702	2.08054754809153	1.08681592289354
11.75	1.54502618201713	2.03943048748853	0.986510839099761
11.85	1.50992482697263	2.05907647733889	1.00725850215276
11.95	1.53774667413022	2.04536359122125	1.08612687916023
12.05	1.54343081620849	2.02157429702552	1.05899345849145
12.15	1.43088719616615	1.85087904936716	0.951769352724174
12.25	1.1941034147538	1.56770025050612	0.800175295570724
12.35	0.931881314264977	1.37586642243303	0.560444578350094
12.45	0.764839888099133	1.29113308056481	0.330739779984668
12.55	0.762933690132132	1.31428107136983	0.293884313454384
12.65	0.928462213611476	1.46398352947545	0.489336331371536
12.75	1.2083184009078	1.76192636983051	0.755898259795091
12.85	1.5338530722898	2.10677174546465	1.03644819429872
12.95	1.88061343451135	2.45410188018781	1.27420344749356
13.05	2.24940049715715	2.76195094500628	1.67210476438776
13.15	2.5745314804786	3.10283789163718	2.05943398011298
13.25	2.72792154394167	3.30758555365267	2.18951917504191
13.35	2.64184068703675	3.22952673590873	2.10621049500071
13.45	2.35241155150817	2.8317934966236	1.85755457365422
13.55	1.96406588338912	2.4942843708739	1.50192205385838
13.65	1.58607264404027	2.10759551126521	1.17514927086263
13.75	1.25631892831522	1.70435499155716	0.870384837865698
13.85	0.971675524631165	1.3770825201678	0.600491178162219
