phys	rec.rate	upper	lower
0.05	5.88595120647463	8.0180282692735	3.90144558599212
0.15	5.77403494231298	7.65836435998708	3.90144558599212
0.25	5.32935683504746	6.33466850355365	3.88323249523795
0.35	4.87770276933155	5.79302304347111	3.86000037627327
0.45	4.5728587167476	5.80391532981325	3.57346833352303
0.55	4.54186921601435	6.12704213052978	3.27897566249098
0.65	4.91956213975448	6.54235133685842	3.49094997329908
0.75	5.80243163398509	7.53165679302292	4.39837122250297
0.85	7.0425984734278	8.58372481962404	5.67648628215582
0.95	8.45137117365693	9.61769574819743	7.62554524333282
1.05	9.93724211079107	11.4659452042748	8.78968720116315
1.15	11.049501533053	13.0974704807076	9.2968245172325
1.25	11.3547587996352	13.1365962821836	9.47246589839683
1.35	10.6216602624717	12.3367150042063	8.93883951247644
1.45	9.47889145397893	11.5203975494404	7.75045989088835
1.55	8.60398883231564	10.658928785313	6.6814214899739
1.65	7.98079622166435	9.78050883871233	6.28678366587196
1.75	7.40880179356386	8.95002614595421	5.95244255513338
1.85	6.87744764451148	8.16913780455335	5.61002113101943
1.95	6.38673377450716	7.48275915808174	5.30426701219474
2.05	5.93666018355094	6.8288183709704	5.02105542885733
2.15	5.52722687164279	6.23682481028537	4.67883008855201
2.25	5.15843383878274	5.75432546522888	4.35207077895768
2.35	4.83028108497077	5.34339220137743	4.05820416597692
2.45	4.54276861020689	5.03201238380828	3.78392195417253
2.55	4.2958964144911	4.79900350841815	3.51292246014999
2.65	4.0896644978234	4.63682171456265	3.30226785507507
2.75	3.92407286020377	4.51841173611974	3.11461732841019
2.85	3.79912150163224	4.42793469529529	2.99493356832456
2.95	3.71481042210879	4.39064317731155	2.90915943476849
3.05	3.67113962163343	4.38317135660928	2.85263954471822
3.15	3.66810910020616	4.38309514092493	2.84133722897891
3.25	3.70571885782697	4.43950371482607	2.86823921715619
3.35	3.78396889449587	4.49759097774075	2.92375075273815
3.45	3.90285921021286	4.63658360091564	3.0235303912048
3.55	4.06238980497792	4.78771749766816	3.21858575295654
3.65	4.26256067879108	4.98403729797611	3.44350034518272
3.75	4.50337183165233	5.24112408782606	3.70900343599831
3.85	4.78482326356166	5.57523433946028	3.98252282221789
3.95	5.10691497451907	5.9940358921167	4.27924901844618
4.05	5.46964696452458	6.48791453800516	4.6035445005014
4.15	5.87301923357818	7.01347051479131	4.94715870113941
4.25	6.31703178167984	7.67897239351799	5.31053958567537
4.35	6.80168460882961	8.31974904196408	5.63720910318228
4.45	7.34756003585986	9.08808123757634	6.10961624369371
4.55	8.1114757771287	9.93380897670026	6.88991129959018
4.65	9.19027100955784	10.8621918753859	7.9274794865953
4.75	10.4968519730246	12.1464412775037	9.2386127397536
4.85	11.6615969037398	13.520868520205	10.3348633362391
4.95	12.5270535357483	14.3079542921772	10.8875557021807
5.05	12.8454107986061	14.6816827344814	11.3597934703302
5.15	12.2059281040226	13.401717392509	10.674178434995
5.25	10.9906729969692	12.3936297901212	9.43553304404176
5.35	9.45838256178018	10.9590307995274	7.83727597676168
5.45	7.66856657416956	9.1110989237461	6.27715225044835
5.55	5.89910711258726	7.51405714362528	4.74354388483101
5.65	4.69209678271116	6.43882188141862	3.62411124008681
5.75	4.2656760225695	5.92971867472832	3.18505784379904
5.85	4.54790364974472	6.00268486739469	3.27850228939373
5.95	5.31251555695392	6.68589552773492	3.93855318385065
6.05	6.3275496943098	7.41046052554014	5.02889166568404
6.15	7.36585425771911	8.48729056207537	6.07572512164596
6.25	8.13672595210324	9.46711268408993	6.82925460022095
6.35	8.5844898026013	9.94718047511472	7.04378955113369
6.45	8.79436586494528	10.5949583139862	6.89534711990211
6.55	8.64248150045715	10.9536407721897	6.66132830323853
6.65	7.9239294635531	10.2724747394446	6.24390712672727
6.75	7.54249278249798	10.1108630226109	5.56263404412613
6.85	8.18690899304144	10.3532123219257	6.00054564017588
6.95	9.55925522289093	12.5547976627312	7.24678801143297
7.05	10.1969823949371	12.7801688760216	7.77901519906878
7.15	9.83507756516304	12.0239896470534	7.18927010973488
7.25	9.04877325081213	11.6589187010574	6.37806556814743
7.35	8.08123848075177	11.1854935867137	5.18092314554748
7.45	7.18647969695692	10.1722006410394	2.79180432833273
7.55	6.70405979444939	9.63074468173654	2.12893321562497
7.65	6.11043599262134	9.31905505971542	2.88239605045419
7.75	5.22414645261688	7.45407091944383	3.30468056206185
7.85	4.31857495041397	5.90301546490576	2.82583403827396
7.95	3.52945613878524	5.37374639807175	1.81315742273334
8.05	2.85753641336205	5.0938564425574	0.888518404507816
8.15	2.30790501322506	4.71270170460142	0.286515790299839
8.25	1.9110912191438	4.45347763462226	0
8.35	1.67842598876235	4.06067229824469	0
8.45	1.5974697090188	3.93446086466073	0
8.55	1.62491660625538	3.84863297378199	0.100807267760619
8.65	1.74562122653108	3.66642928774456	0.295124281942257
8.75	1.92345198992692	3.57828316765131	0.350790165532437
8.85	2.11313347689923	3.51380483505044	0.576081841088705
8.95	2.27858403385767	3.62128569203866	0.628451632949972
9.05	2.41357325599573	3.70916913020205	0.406416810515624
9.15	2.48081367128607	3.98657039021676	0.307031828467317
9.25	2.4612103597862	4.18138375001283	0.2768815098584
9.35	2.35093233750837	4.12351614144407	0.299161271120055
9.45	2.12687440779899	3.68850481217752	0.325113677790982
9.55	1.871417530271	3.32264558809095	0.287088528916964
9.65	1.68059572723986	3.08671789399811	0.204455109465019
9.75	1.55871409653704	2.90578356584893	0.0708471671538187
9.85	1.50577263816255	2.99710501694813	0.159687192112266
9.95	1.52907897925819	3.3213463012463	0.165743641703119
10.05	1.75244010347082	3.77825292120127	0
10.15	2.27914797435371	4.59847126588117	0.208408220793132
10.25	3.11236495519672	5.54402065825572	1.35504610274069
10.35	4.2520910459998	6.72596666015023	2.67618084718459
10.45	5.74076788889933	8.18529248225863	3.33850490816022
10.55	7.71893808547994	9.90249508987189	5.34235012923964
10.65	9.63817669409501	11.4346727675174	6.90057733842793
10.75	10.5787727534668	12.4431265626927	7.0222739996296
10.85	9.73131368556762	11.8955845813193	5.84561580126315
10.95	7.43641743608076	10.3845125666926	4.16082621783305
11.05	5.38543953569864	9.23428222923064	2.49707282634914
11.15	4.06907045906679	8.18258392606653	1.37798210880381
11.25	3.2284474266936	7.1894733916401	0.937813208552658
11.35	2.65149803953956	6.22097714842475	0.122434319541523
11.45	2.33106320624879	5.38867978717652	0.155502981107688
11.55	2.21001552018111	4.64645866876497	0.329130922546692
11.65	2.14018626571305	4.07189070458868	0.0874483563630125
11.75	2.09786675792645	3.82729072728098	0
11.85	2.08305699682125	3.70977039855423	0
11.95	2.09197015264373	3.68307286719896	0.0510712169790078
12.05	2.09436722415251	3.78885581554148	0.137332202220454
12.15	2.07576074737599	3.87149563782124	0
12.25	2.03605979695799	3.88833114319889	0
12.35	1.97526437289845	3.79267128136568	0
12.45	1.89337447519742	3.62916370210995	0
12.55	1.79039010385483	3.51217526092623	0
12.65	1.66631125887078	3.33408521072453	0
12.75	1.5211379402452	3.05950580956003	0
12.85	1.35487753291514	2.81145185653037	0
12.95	1.1782703074878	2.53380690319629	0
13.05	1.02353847827573	2.42946088466844	0
13.15	0.896699519695557	2.440694593577	0
13.25	0.797753431747225	2.45843827701511	0
13.35	0.726700214430773	2.50991046904491	0
13.45	0.683625337199137	2.57787544768351	0
13.55	0.686897687859236	2.70676670890946	0
13.65	0.777623823409074	2.92850273504645	0
13.75	0.961384865381649	3.20872562096354	0
13.85	1.23818081377688	3.43990340382119	0
13.95	1.6098283693872	3.91479711812893	0
14.05	2.08430610028729	4.54511297032868	0
14.15	2.64475197649735	5.95417444864302	0.426275834846569
14.25	3.12063480420453	6.98501630043822	0.619793136426117
14.35	3.36225963620106	7.45391600477837	0.775209214619671
14.45	3.3483971908663	7.26638645587125	0.864015490372604
14.55	3.17204114938344	6.60932901141906	0.931959218652705
14.65	2.96632010424118	5.75941223879269	0.96909111379199
14.75	2.76135578177659	4.98704436155713	0.996077105237092
14.85	2.55714818198976	4.22820136473663	0.97508494308504
14.95	2.35369730488061	3.56012612373225	0.905922532142916
15.05	2.1510031504492	3.03631774522067	0.85814698515676
15.15	1.94906571869548	2.8987941940609	0.794981934180267
15.25	1.74788500961948	2.85372952292809	0.741529701752188
15.35	1.54746102322119	2.79221968218961	0.583071307492555
15.45	1.34779375950062	2.70278321808744	0.390495069848141
15.55	1.14888321845775	2.55497491632272	0.0877078222560344
15.65	0.950729400092605	2.37182479219136	0
15.75	0.75333230440517	2.2129106590563	0
15.85	0.556691931395451	2.0120105950467	0
15.95	0.360808281063443	1.82665255915235	0
16.05	0.165681353409141	1.61784591013447	0
16.15	0	1.41967053911179	0
16.25	0	1.28235218002248	0
16.35	0	1.12322162244878	0
16.45	0	0.941625161824215	0
16.55	0	0.820964306419638	0
16.65	0	0.735083022100292	0
16.75	0	0.651268100755407	0
16.85	0	0.592337846575094	0
16.95	0	0.553411575236166	0
17.05	0	0.496157385305803	0
17.15	0	0.450324666198635	0
17.25	0	0.42124259123952	0
17.35	0	0.403075438678813	0
17.45	0	0.397934822980376	0
17.55	0	0.400170325770501	0
17.65	0	0.405523715188545	0
17.75	0	0.413562454640208	0
17.85	0	0.45502957805681	0
17.95	0	0.451427336471278	0
18.05	0	0.538669078248968	0
18.15	0	0.629508721899909	0
18.25	0.0607978263167173	0.79455152043517	0
18.35	0.247473563779344	0.970331328161591	0
18.45	0.42998462652624	1.03435889904123	0
18.55	0.5994820887956	1.09566920395095	0
18.65	0.756490040537935	1.167459574398	0
18.75	0.901008481753271	1.29227920589078	0
18.85	1.0330374124416	1.43873289875952	0.0319388234027751
18.95	1.1525768326029	1.57434010418346	0.128426515984741
19.05	1.25962674223721	1.70706300217544	0.225616847618287
19.15	1.35418714134449	1.83606209307298	0.310001380431912
19.25	1.43625802992476	1.97083576171244	0.410308566508602
19.35	1.50583940797804	2.07868186765681	0.487333862105509
19.45	1.56293127550429	2.13474904192279	0.566704628463276
19.55	1.60753363250351	2.17194723289912	0.623092059217738
19.65	1.63964647897579	2.20438702612258	0.654436648464605
19.75	1.65926981492098	2.24228519603129	0.673495416693896
19.85	1.66640364033922	2.27026976533777	0.71095660986396
19.95	1.66104795523039	2.30005640138663	0.738543999619997
20.05	1.6432027595946	2.41109718596877	0.772217066731674
20.15	1.61238262045577	2.49737266804492	0.809167772052706
20.25	1.56516014771685	2.48586854358456	0.871227579214168
20.35	1.50006011308972	2.47453582948185	0.884562043393254
20.45	1.41982195744311	2.34969341555582	0.909572787282238
20.55	1.33375499695456	2.19160251972643	0.905432266685219
20.65	1.24383068147431	2.01972212451802	0.875779720374366
20.75	1.15018841959029	1.84765096976324	0.807291278754277
20.85	1.05755900250981	1.75456557587175	0.709498466086427
20.95	0.971716735400642	1.66956442909243	0.621466794195942
21.05	0.893012332406242	1.6250036620111	0.507141122251795
