phys	rec.rate	upper	lower
0.05	4.90503472456241	6.44685708403131	2.64726453313655
0.15	4.67708168667159	5.90066032883103	2.6749817387453
0.25	4.00628731612355	4.92829619842549	2.82849691655759
0.35	3.22440872390988	3.92362306766565	2.48944646730506
0.45	2.5247582907563	3.32117531041814	1.78137975230335
0.55	2.13857790259067	3.0837431030964	1.20902684516437
0.65	2.08402337747121	3.06911054314995	1.31339088221366
0.75	2.28158945503613	3.15073412450693	1.50645174685198
0.85	2.53404297710089	3.28565910082334	1.68340187113914
0.95	2.78177790553685	3.6039204766336	1.839385419641
1.05	2.93116971597075	3.89443678487379	1.93059593087543
1.15	2.96339869737564	3.96829396904364	2.04493686980169
1.25	3.03925532371873	4.17046223922478	2.11767738502
1.35	3.29740494707261	4.39830617783004	2.30132725555248
1.45	3.78745159308339	4.74258791941691	2.70740187104087
1.55	4.46690336923476	5.56070748892948	3.50576600193589
1.65	5.12934088556884	6.50708663054176	4.11593175185912
1.75	5.48833799877263	6.79420958599201	4.1885405360974
1.85	5.43470750625457	6.5896375453027	4.06045381851563
1.95	5.04760974684499	6.24147268179078	3.6986687442839
2.05	4.46194863633876	5.55474107487372	3.33935707362966
2.15	3.74483829743927	4.73082056447343	2.8762689516975
2.25	3.08395297193696	4.14371758908422	2.25189709362134
2.35	2.6083037203539	3.8065655558855	1.67016707411575
2.45	2.4348406782723	3.7569168195849	1.43295599547233
2.55	2.6723748690764	3.86900491974656	1.73107896466397
2.65	3.38247050318127	4.51285724059837	2.34276305388636
2.75	4.30646521361593	5.31083749751044	2.87723068949666
2.85	4.70087046445117	5.62805147826533	3.14726593705597
2.95	4.46876386420666	5.40083275679948	3.18487990650592
3.05	3.85967460327339	4.79093515712958	2.90399926050237
3.15	3.29750287533099	4.52121538333492	2.39643108898326
3.25	3.04955551509053	4.64373711353781	1.98189140245979
3.35	3.16126659615592	4.88139925132494	1.92522588577007
3.45	3.66494010819837	5.15792329156341	2.4379096056659
3.55	4.41044218998689	5.76019816548628	3.20534272009732
3.65	5.25344856464519	6.44099754224248	4.27841763211956
3.75	6.16752044116734	7.5642328733488	4.71499621754976
3.85	6.85353310738874	8.8110288365119	4.93419288301515
3.95	6.92533229729307	8.85925011955649	5.03765382387342
4.05	6.08397917439603	7.51932784611777	4.50947283910362
4.15	5.09414292532576	6.80336228199472	3.58537578055804
4.25	4.77891470531297	6.55723913976727	3.26047197653207
4.35	5.23393553724158	6.56025289013751	3.81631181555729
4.45	5.76607971699258	7.07188071718858	4.08297644556287
4.55	5.53631447300118	6.77359345618244	3.53120899653175
4.65	4.67503710553325	6.08173063798352	2.94925637357004
4.75	3.69983784752254	5.49395811494527	1.92717011359005
4.85	3.16805714134876	5.40829735837188	1.29995105547416
4.95	3.31933876896346	5.49620182532244	1.16720698449045
5.05	4.22464884577052	5.87178805618996	2.21438250913297
5.15	5.78025156847717	7.49550055314313	4.35384447565046
5.25	7.51877144601496	10.0152984380996	5.66080384625788
5.35	8.67373652088989	11.2031542832563	6.11916499213321
5.45	8.35670172102394	10.3310878515587	6.13368042211926
5.55	7.05529408700292	9.05859643634471	5.51809365429849
5.65	6.00093662984386	7.57712301646106	4.94316291837828
5.75	4.9534910824258	5.9299047570453	3.83343098109306
5.85	4.10949063656427	4.80367346952565	3.24359468303358
5.95	3.42174683991031	4.13126167183624	2.44849301159013
6.05	2.78023386100622	3.90547227051409	1.75078516279981
6.15	2.73365074140123	4.24502927944721	1.54618128213577
6.25	3.49900080160927	4.68635564511444	2.26608610109944
6.35	4.89913831153218	5.83349124208543	4.02110662824809
6.45	6.12043595132293	7.67654226531383	4.77079314378225
6.55	6.38879397796819	7.68881388122393	4.80228621007778
6.65	5.79585799680048	6.97642304862778	4.41004800065079
6.75	4.75051142522885	5.93652865161523	3.64364389283134
6.85	3.53294941997566	4.63347225137206	2.72082641782906
6.95	2.71510704808727	4.11078435138853	1.93109340540402
7.05	2.73491135664625	4.2802265018017	1.89100642944565
7.15	3.6948536594153	4.81194454577247	3.03107883778765
7.25	5.3348227341176	5.93604946886496	4.42352763764803
7.35	6.86303674706572	7.4624417240029	5.68142720282122
7.45	7.84785633380748	8.33311186589937	6.42535484492813
7.55	8.04986193557436	8.63385049971783	7.08359297490255
7.65	7.41786199283931	8.14177719156131	6.88462657518762
7.75	5.87166494157242	6.46479931094195	5.43824344570191
7.85	4.11156458947309	4.71003667090651	3.60404083700932
7.95	3.12123415784147	3.92892717940995	2.37248610919745
8.05	2.91348793646821	3.55671124510135	2.18797059830961
8.15	3.09727914885258	3.54802242625441	2.70930339820828
8.25	3.41847438348167	4.15894412940674	2.73689980077944
8.35	3.68594457429515	4.5370975511769	2.54342259271113
8.45	3.80592469227294	4.87619510918727	2.54102023036597
8.55	3.95121305371592	4.98738292176028	2.72783885718383
8.65	4.17793683157387	5.06056250841647	3.01622961505977
8.75	4.47854837244434	5.13146108743863	3.57726475918926
8.85	4.85293035510319	5.38519428845441	4.26042249613772
8.95	5.29661983822884	6.70942181852654	4.58473574817639
9.05	5.65808302335148	7.7012762976931	4.41421521332646
9.15	5.71520364263364	7.42536150673942	4.18135445329571
9.25	5.54905315810618	6.75202190767772	4.37062245980368
9.35	5.33451396847977	6.37157481207482	4.50841290805921
9.45	5.05145670561837	6.05322439446641	3.9733550734112
9.55	4.45221024982425	5.58414209830994	3.01464396074076
9.65	3.47736706985576	4.69255033268968	2.12662875449244
9.75	2.8802323110223	4.64037684274623	1.65148095755044
9.85	3.05547977427306	4.79572617127338	1.75673290183972
9.95	3.98724496033642	5.24773991740381	2.9141813667102
10.05	5.58424103780047	6.94945283031159	4.31362331756578
10.15	6.83166247333055	8.71096926375861	4.81322018208296
10.25	6.8717863758497	8.49509639623901	4.93114051223386
10.35	6.06567549532301	7.35430624344289	4.7411778505775
10.45	5.23914301594406	6.64214514588447	4.14032237160232
10.55	4.67158660350775	6.2268464802687	3.6823712637717
10.65	4.47487265114761	5.93483376429499	3.36730722576209
10.75	4.66758840850201	5.71752209320232	3.65326895139712
10.85	5.09664549668727	6.00478207882318	4.06598689579934
10.95	5.42259736433107	6.31420801708387	4.10279802482556
11.05	5.40687975249506	6.7590102491248	3.7122403218153
11.15	4.37437812562567	5.33231690365562	3.28515023962369
11.25	2.95510910397213	3.98442337984928	2.1055313553084
11.35	2.09882621022854	3.35688678054565	1.07842615964139
11.45	1.98232864057292	3.52597033448685	0.955873776534187
11.55	2.54661243688596	4.18221979723371	1.57837966781197
11.65	3.61172169213587	5.02055030923858	2.90183179056534
11.75	5.16029177939106	6.23986044844658	3.6412960357566
11.85	6.65745256446199	8.68780169301884	3.73847572278682
11.95	5.87483273593944	7.24982438767503	3.3947984002717
12.05	4.02125962991487	5.26604840943432	2.72293365222621
12.15	2.63325419971307	4.23733585598448	1.25857739008449
12.25	1.96694168889008	3.87951454002494	0.599567733652944
12.35	2.01898765253016	3.92307713999286	0.838301569885118
12.45	2.66169667323866	4.22270476581165	1.57959404255646
12.55	3.75738033390872	4.93892598327578	2.54386212690547
12.65	5.01661420536323	6.11719142898751	3.21607753531431
12.75	5.85610869441533	7.20450775073296	3.62632981645837
12.85	5.82660606884333	6.99618593746187	3.79683181719367
12.95	5.09456852045437	6.10653563614567	3.76808330851536
13.05	4.27149594418186	5.38610067740274	3.47275345672918
13.15	3.52903376612258	4.74786660773131	2.69531591547083
13.25	2.95611399159818	4.16608084946681	1.95266291203018
13.35	2.58847130669699	3.72139012509293	1.59889361626447
13.45	2.42098213544794	3.45974336797275	1.64751598866787
13.55	2.40592260504003	3.31369321397975	1.67960636606927
13.65	2.5168569397253	3.43224413285863	1.70036716298613
13.75	2.75335571431424	3.86281717177577	1.81751662201336
13.85	3.03982204236346	4.70897606492144	2.02916935684675
13.95	3.21095938712292	4.64272787220413	2.22164561144633
14.05	3.29325427689247	4.0607741091415	2.47546261100636
