phys	rec.rate	upper	lower
0.05	3.66556512059257	11.2881297603316	0
0.15	3.66556512059257	11.2881297603316	0
0.25	3.66556512059257	11.2881297603316	0
0.35	3.63993942316251	11.1940826196663	0
0.45	3.22651568700784	9.76162262905775	0
0.55	2.40459669025147	6.99796225799347	0
0.65	1.64427816463404	5.00052266711409	0
0.75	0.998980455926143	3.03248275133169	0
0.85	0.46870356412779	1.96971144957801	0
0.95	0.0534474892389751	1.92992945117353	0
1.05	0	1.93560207255623	0
1.15	0	1.96649446654248	0
1.25	0	1.98335257762383	0
1.35	0	2.18293476147442	0
1.45	0	2.56263713674245	0
1.55	0.233114519879305	2.90034064336629	0
1.65	0.902273872143455	3.15337385380594	0
1.75	1.52138222856799	3.9081410861453	0.117171466674795
1.85	2.11247116075399	4.66639264782928	0.680730208085426
1.95	2.87915532496554	5.3872706807322	1.54209290790144
2.05	3.83711546866765	5.9568221849918	2.48138529572443
2.15	4.95487810028088	6.42329580743726	3.35499192679978
2.25	5.98338169475449	7.27372705969294	3.79082484907014
2.35	6.80421654057293	8.22859966600154	4.38670243178951
2.45	7.41666241043841	8.74435859489857	4.65789895976336
2.55	7.79344813188688	9.30251562979355	4.57767418133606
2.65	7.72822269764582	9.55148040454726	4.43506954027869
2.75	7.12658675144792	8.76464759252387	4.11473615292252
2.85	6.00459745448343	7.83782234311776	3.5396434143051
2.95	4.61262298975876	7.0678189527578	2.60938009791122
3.05	3.31114366229901	6.41502711137203	1.5346347747242
3.15	2.32728841129547	5.85722312064377	0.216681474848484
3.25	1.67579973923052	5.41025201073876	0
3.35	1.35667764610416	5.01507609891743	0
3.45	1.35279085084164	4.58314040796829	0
3.55	1.4701963870431	4.34685913172361	0.25906812183954
3.65	1.58619921305108	4.12289129947646	0.228975705821645
3.75	1.69886084160494	3.79462899228694	0.0972123299093436
3.85	1.80818127270467	3.50212988497843	0.0295495951775191
3.95	1.91416050635027	3.25557539765569	0.0708759081256687
4.05	2.01679854254173	3.30389121953826	0.0279952106795614
4.15	2.11595925375726	3.37867184586354	0.0762923876989253
4.25	2.20880139126925	3.43322868836427	0.0325814626451974
4.35	2.29263589130793	3.54396648644336	0.0155631477311235
4.45	2.36735709226183	3.64168956895849	0.0670722617737278
4.55	2.43295284403423	3.71005538233447	0.0912458950291146
4.65	2.48662366246735	3.75171282559029	0.163507113477615
4.75	2.52200994381945	3.83163488248155	0.128731875016135
4.85	2.53823330867743	3.85098379933436	0.162547144397218
4.95	2.53529375704129	3.83567533045649	0.0711826706754833
5.05	2.51319128891103	3.78498990771855	0.0262531719794586
5.15	2.47192590428665	3.64966352950998	0.00988814480543935
5.25	2.41149760316815	3.58566043431887	0.00838823833603232
5.35	2.33190638555553	3.28914200701519	0
5.45	2.23315225144879	3.14412371895849	0
5.55	2.11523520084793	3.15784111315102	0.0410147888786308
5.65	1.97815523375295	3.33021180574909	0.0421632477704802
5.75	1.82191235016385	3.50227619644396	0.0705692946624122
5.85	1.64650655008064	3.75303560549406	0
5.95	1.4519378335033	4.0920107844067	0
6.05	1.24437898842528	4.52561747144952	0
6.15	1.14341434013982	5.01831006425539	0
6.25	1.2573718639866	5.56614902442724	0
6.35	1.59016617866785	6.1509049194397	0
6.45	2.07314929098814	6.86891825159579	0
6.55	2.50379323181525	7.46320874309821	0
6.65	3.97378387635704	7.70436218924806	0
6.75	5.315862936	9.3214427199498	0
6.85	5.46587559508201	9.9881816422237	0.028697620154386
6.95	4.40394753288371	9.25635322240575	0
7.05	2.15664812937475	8.0488932077575	0
7.15	0	7.25071056122223	0
7.25	0	6.9390084060772	0
7.35	0	6.63183705079854	0
7.45	0	6.32919649538597	0
7.55	0.539121312285672	6.03108673983986	0
7.65	1.39117595828144	5.84020620681205	0
7.75	2.35474918004403	5.61681459189017	0
7.85	3.42915799581826	6.9662795797556	0
7.95	4.44339766931013	8.52775816844826	0
8.05	5.05922824855496	8.76733886089698	0
