phys	rec.rate	upper	lower
0.5	3.18211087045047	10.345889056418	0.553980693647281
1.5	5.47404370094332	6.85471363990707	4.67115961238442
2.5	6.29544250080293	7.12739520634962	4.96555710175147
3.5	9.58505516214205	10.8673448598741	5.74821627865484
4.5	7.79779827548247	11.2378706227162	6.65106071096682
5.5	8.03949569432954	8.89437750367955	7.35251308517855
6.5	2.35120256848919	3.61747283643924	1.56056160534719
7.5	0.14582452761831	0.678954871166202	0
8.5	0.0617775568116034	0.659145926543646	0
9.5	1.02122668875695	2.1711334470715	0.130009335202301
10.5	7.01448271672238	8.03375368565433	5.77726516098735
11.5	7.97441820219247	9.39138861522819	6.71787216625278
12.5	4.20233281031133	5.02272819786905	3.52514759888961
13.5	2.36035368462892	2.84761746315805	1.92859312678236
14.5	5.18217168910369	5.65623980275698	4.66130950529652
15.5	4.662796638476	5.7356781322804	3.40339073472508
16.5	5.19443216848224	6.66752587608939	3.3882425652491
17.5	5.56249390045129	7.16175991478721	4.37077578419462
18.5	5.90349956017715	6.32123897456297	5.49564218763554
19.5	2.90829483048741	3.46745925905479	2.49549694158242
20.5	2.27025552929132	2.75001169158182	1.68851155219598
21.5	7.18034402830803	7.69789684402177	6.32839645913764
22.5	8.48360056504112	9.12955811802665	8.01429448301217
23.5	4.67549798209188	5.24160260381161	4.15059567454772
24.5	6.58490613208935	7.55982228663695	5.5137012135711
25.407273	4.18859132638448	5.52640597033207	3.0991946795044
