phys	rec.rate	upper	lower
0.5	0.786876471697613	22.3623256630761	0
1.5	0.786876471697612	22.3623256630761	0
2.5	0.786876471697613	22.3623256630761	0
3.5	0.786876471697613	22.3623256630761	0
4.5	0.610486325774234	20.7815125320734	0
5.5	0.0975423438159793	17.7076857175065	0
6.5	0	15.389957724949	0
7.5	0	13.9454667797056	0
8.5	0	13.4546245569665	0
9.5	0	9.91725485764225	0
10.5	0	7.14844630516393	0
11.5	0	3.91196049597365	0
12.5	0	2.80892185954255	0
13.5	0	2.87370365878993	0
14.5	0	3.54774745561872	0
15.5	0	4.42224606564578	0
16.5	0	4.92038053127314	0
17.5	0	5.21918621767555	0
18.5	0	6.1125833234255	0
19.5	0	6.17747450294864	0
20.5	0.194118416738582	6.82813617401729	0
21.5	0.472711706878338	7.29588236186653	0
22.5	0.689732921046427	6.66400615742111	0
23.5	0.845182059242849	6.66135331428609	0
24.5	0.939059121467605	6.6727889975819	0
25.5	0.971364107720693	6.12705238831676	0
26.5	0.942097018002115	5.77989942494685	0
27.5	0.85125785231187	4.92666367261223	0
28.5	0.69835772227101	3.4625697181739	0
29.5	0.482701973643619	1.68329903195251	0
30.5	0.269611226877462	0.875578524145072	0
31.5	0.123048229851795	0.722266374017444	0
32.5	0.134065403466823	0.765717305172767	0
33.5	0.493497698779169	1.38329635763087	0
34.5	1.42198524192794	2.04919536160501	0.229398560090051
35.5	7.5556675173582	8.44125662994049	7.02793983164176
36.5	7.57087878316096	7.97166716039091	7.17641475629591
37.5	8.53340113666048	8.87694047715041	8.24671730631389
38.5	6.52523103975041	7.09769647391818	6.12218718939383
39.5	7.4412110810676	7.80830217994267	6.88633651370345
40.5	7.00134825015373	7.34199756872129	6.58337850869841
41.5	5.77256913094854	6.15779647555696	5.44515334037148
42.5	5.69100580214342	5.91850046485338	5.43397595696647
43.5	5.83342727590982	6.16564235767278	5.60285874258158
44.5	4.54664605383647	4.82789916321189	4.16421188719859
45.5	5.96227994828156	6.30181632060815	5.63246266774616
46.5	4.30490253793691	4.81058200719961	4.06687935636486
47.5	4.87169201438382	5.20058652042061	4.3954060833394
48.5	3.66077797161157	3.92428922612979	3.3909062305413
49.5	6.81439150714289	7.308017369869	6.15853754385641
50.5	4.95380426134501	5.60804430799932	4.41633214230115
51.5	8.1553010849153	8.4691917122627	7.75694698986036
52.5	6.19280945435272	6.58125348260109	5.8993971558149
53.5	5.22523064800732	5.64828127891013	4.79040240660011
54.5	5.64021047901522	8.60685028337655	4.64895980348405
55.0675265	1.49016098131094	12.4051213589651	0
