set	map	mkr	phys	gen	vld
Brachypodium_distachyon_Huo2011	3	BD4417_1	728345	0	TRUE
Brachypodium_distachyon_Huo2011	3	BD0842_3	1020121	6.075	TRUE
Brachypodium_distachyon_Huo2011	3	BD3008_2	1362672	10.363	TRUE
Brachypodium_distachyon_Huo2011	3	BD1994_2	1985532	21.237	TRUE
Brachypodium_distachyon_Huo2011	3	BD1786_1	2665999	26.665	TRUE
Brachypodium_distachyon_Huo2011	3	BD2707_1	2906973	31.763	TRUE
Brachypodium_distachyon_Huo2011	3	BD0458_4	3513125	40.731	TRUE
Brachypodium_distachyon_Huo2011	3	BD0976_1	4029327	45.483	TRUE
Brachypodium_distachyon_Huo2011	3	BD0335_1	4195161	50.064	TRUE
Brachypodium_distachyon_Huo2011	3	BD2599_1	4723098	57.609	TRUE
Brachypodium_distachyon_Huo2011	3	BD1415_1	5337220	64.411	TRUE
Brachypodium_distachyon_Huo2011	3	BD1188_3	5459948	65.84	TRUE
Brachypodium_distachyon_Huo2011	3	BD0226_5	5576850	66.438	TRUE
Brachypodium_distachyon_Huo2011	3	BD1436_1	6421614	74.001	TRUE
Brachypodium_distachyon_Huo2011	3	BD1902_3	6606113	75.45	TRUE
Brachypodium_distachyon_Huo2011	3	BD3725_1	6798794	75.955	TRUE
Brachypodium_distachyon_Huo2011	3	BD1153_5	6955430	82.757	TRUE
Brachypodium_distachyon_Huo2011	3	BD2600_3	7575554	87.373	TRUE
Brachypodium_distachyon_Huo2011	3	BD4910_1	8538919	92.464	TRUE
Brachypodium_distachyon_Huo2011	3	BD3737_1	11328458	96.045	TRUE
Brachypodium_distachyon_Huo2011	3	BD3739_1	11926830	99.85	TRUE
Brachypodium_distachyon_Huo2011	3	BD3311_1	13258616	107.049	TRUE
Brachypodium_distachyon_Huo2011	3	BD0899_5	13618836	110.817	TRUE
Brachypodium_distachyon_Huo2011	3	BD1321_1	13629694	110.859	TRUE
Brachypodium_distachyon_Huo2011	3	BD4316_1	13787370	111.517	TRUE
Brachypodium_distachyon_Huo2011	3	BD3314_2	14335822	117.515	TRUE
Brachypodium_distachyon_Huo2011	3	BD2239_2	14475617	118.766	TRUE
Brachypodium_distachyon_Huo2011	3	BD2286_1	14749960	120.319	TRUE
