set	map	mkr	phys	gen	vld
Boechera_stricta_Lee2020	1	50001	50001	0	TRUE
Boechera_stricta_Lee2020	1	150001	150001	0.497	TRUE
Boechera_stricta_Lee2020	1	250001	250001	1.387	TRUE
Boechera_stricta_Lee2020	1	350001	350001	1.387	TRUE
Boechera_stricta_Lee2020	1	450001	450001	2.816	TRUE
Boechera_stricta_Lee2020	1	550001	550001	2.816	TRUE
Boechera_stricta_Lee2020	1	650001	650001	2.816	TRUE
Boechera_stricta_Lee2020	1	750001	750001	3.664	TRUE
Boechera_stricta_Lee2020	1	850001	850001	3.664	TRUE
Boechera_stricta_Lee2020	1	950001	950001	4.564	TRUE
Boechera_stricta_Lee2020	1	1050001	1050001	4.853	TRUE
Boechera_stricta_Lee2020	1	1150001	1150001	4.853	TRUE
Boechera_stricta_Lee2020	1	1250001	1250001	4.853	TRUE
Boechera_stricta_Lee2020	1	1350001	1350001	5.428	TRUE
Boechera_stricta_Lee2020	1	1450001	1450001	5.428	TRUE
Boechera_stricta_Lee2020	1	1550001	1550001	6.29	TRUE
Boechera_stricta_Lee2020	1	1650001	1650001	6.29	TRUE
Boechera_stricta_Lee2020	1	1750001	1750001	6.29	TRUE
Boechera_stricta_Lee2020	1	1850001	1850001	7.439	TRUE
Boechera_stricta_Lee2020	1	1950001	1950001	7.439	TRUE
Boechera_stricta_Lee2020	1	2050001	2050001	7.722	TRUE
Boechera_stricta_Lee2020	1	2150001	2150001	7.722	TRUE
Boechera_stricta_Lee2020	1	2250001	2250001	7.722	TRUE
Boechera_stricta_Lee2020	1	2350001	2350001	7.722	TRUE
Boechera_stricta_Lee2020	1	2450001	2450001	7.722	TRUE
Boechera_stricta_Lee2020	1	2550001	2550001	7.722	TRUE
Boechera_stricta_Lee2020	1	2650001	2650001	7.722	TRUE
Boechera_stricta_Lee2020	1	2750001	2750001	7.722	TRUE
Boechera_stricta_Lee2020	1	2850001	2850001	7.722	TRUE
Boechera_stricta_Lee2020	1	2950001	2950001	7.722	TRUE
Boechera_stricta_Lee2020	1	3050001	3050001	7.722	TRUE
Boechera_stricta_Lee2020	1	3150001	3150001	7.722	TRUE
Boechera_stricta_Lee2020	1	3250001	3250001	7.722	TRUE
Boechera_stricta_Lee2020	1	3350001	3350001	7.722	TRUE
Boechera_stricta_Lee2020	1	3450001	3450001	7.722	TRUE
Boechera_stricta_Lee2020	1	3550001	3550001	7.722	TRUE
Boechera_stricta_Lee2020	1	3650001	3650001	7.722	TRUE
Boechera_stricta_Lee2020	1	3750001	3750001	7.722	TRUE
Boechera_stricta_Lee2020	1	3850001	3850001	7.722	TRUE
Boechera_stricta_Lee2020	1	3950001	3950001	7.722	TRUE
Boechera_stricta_Lee2020	1	4050001	4050001	7.722	TRUE
Boechera_stricta_Lee2020	1	4150001	4150001	7.722	TRUE
Boechera_stricta_Lee2020	1	4250001	4250001	7.722	TRUE
Boechera_stricta_Lee2020	1	4350001	4350001	7.722	TRUE
Boechera_stricta_Lee2020	1	4450001	4450001	7.722	TRUE
Boechera_stricta_Lee2020	1	4550001	4550001	7.722	TRUE
Boechera_stricta_Lee2020	1	4650001	4650001	7.722	TRUE
Boechera_stricta_Lee2020	1	4750001	4750001	7.722	TRUE
Boechera_stricta_Lee2020	1	4850001	4850001	7.722	TRUE
Boechera_stricta_Lee2020	1	4950001	4950001	7.722	TRUE
Boechera_stricta_Lee2020	1	5050001	5050001	7.722	TRUE
Boechera_stricta_Lee2020	1	5150001	5150001	7.722	TRUE
Boechera_stricta_Lee2020	1	5250001	5250001	7.722	TRUE
Boechera_stricta_Lee2020	1	5350001	5350001	7.722	TRUE
Boechera_stricta_Lee2020	1	5450001	5450001	7.722	TRUE
Boechera_stricta_Lee2020	1	5550001	5550001	7.722	TRUE
Boechera_stricta_Lee2020	1	5650001	5650001	7.722	TRUE
Boechera_stricta_Lee2020	1	5750001	5750001	7.722	TRUE
Boechera_stricta_Lee2020	1	5850001	5850001	7.722	TRUE
Boechera_stricta_Lee2020	1	5950001	5950001	7.722	TRUE
Boechera_stricta_Lee2020	1	6050001	6050001	7.722	TRUE
Boechera_stricta_Lee2020	1	6150001	6150001	7.722	TRUE
Boechera_stricta_Lee2020	1	6250001	6250001	7.722	TRUE
Boechera_stricta_Lee2020	1	6350001	6350001	7.722	TRUE
Boechera_stricta_Lee2020	1	6450001	6450001	7.722	TRUE
Boechera_stricta_Lee2020	1	6550001	6550001	7.722	TRUE
Boechera_stricta_Lee2020	1	6650001	6650001	7.722	TRUE
Boechera_stricta_Lee2020	1	6750001	6750001	7.722	TRUE
Boechera_stricta_Lee2020	1	6850001	6850001	7.722	TRUE
Boechera_stricta_Lee2020	1	6950001	6950001	7.722	TRUE
Boechera_stricta_Lee2020	1	7050001	7050001	7.722	TRUE
Boechera_stricta_Lee2020	1	7150001	7150001	7.722	TRUE
Boechera_stricta_Lee2020	1	7250001	7250001	7.722	TRUE
Boechera_stricta_Lee2020	1	7350001	7350001	7.722	TRUE
Boechera_stricta_Lee2020	1	7450001	7450001	7.722	TRUE
Boechera_stricta_Lee2020	1	7550001	7550001	7.722	TRUE
Boechera_stricta_Lee2020	1	7650001	7650001	7.722	TRUE
Boechera_stricta_Lee2020	1	7750001	7750001	7.722	TRUE
Boechera_stricta_Lee2020	1	7850001	7850001	7.722	TRUE
Boechera_stricta_Lee2020	1	7950001	7950001	7.722	TRUE
Boechera_stricta_Lee2020	1	8050001	8050001	7.722	TRUE
Boechera_stricta_Lee2020	1	8150001	8150001	7.722	TRUE
Boechera_stricta_Lee2020	1	8250001	8250001	7.722	TRUE
Boechera_stricta_Lee2020	1	8350001	8350001	7.722	TRUE
Boechera_stricta_Lee2020	1	8450001	8450001	7.722	TRUE
Boechera_stricta_Lee2020	1	8550001	8550001	7.722	TRUE
Boechera_stricta_Lee2020	1	8650001	8650001	7.722	TRUE
Boechera_stricta_Lee2020	1	8750001	8750001	7.722	TRUE
Boechera_stricta_Lee2020	1	8850001	8850001	7.722	TRUE
Boechera_stricta_Lee2020	1	8950001	8950001	7.722	TRUE
Boechera_stricta_Lee2020	1	9050001	9050001	7.722	TRUE
Boechera_stricta_Lee2020	1	9150001	9150001	7.722	TRUE
Boechera_stricta_Lee2020	1	9250001	9250001	7.722	TRUE
Boechera_stricta_Lee2020	1	9350001	9350001	7.722	TRUE
Boechera_stricta_Lee2020	1	9450001	9450001	7.722	TRUE
Boechera_stricta_Lee2020	1	9550001	9550001	7.722	TRUE
Boechera_stricta_Lee2020	1	9650001	9650001	7.722	TRUE
Boechera_stricta_Lee2020	1	9750001	9750001	7.722	TRUE
Boechera_stricta_Lee2020	1	9850001	9850001	7.722	TRUE
Boechera_stricta_Lee2020	1	9950001	9950001	7.722	TRUE
Boechera_stricta_Lee2020	1	10050001	10050001	7.722	TRUE
Boechera_stricta_Lee2020	1	10150001	10150001	7.722	TRUE
Boechera_stricta_Lee2020	1	10250001	10250001	7.722	TRUE
Boechera_stricta_Lee2020	1	10350001	10350001	7.722	TRUE
Boechera_stricta_Lee2020	1	10450001	10450001	7.722	TRUE
Boechera_stricta_Lee2020	1	10550001	10550001	7.722	TRUE
Boechera_stricta_Lee2020	1	10650001	10650001	8.284	TRUE
Boechera_stricta_Lee2020	1	10750001	10750001	8.284	TRUE
Boechera_stricta_Lee2020	1	10850001	10850001	9.42	TRUE
Boechera_stricta_Lee2020	1	10950001	10950001	9.42	TRUE
Boechera_stricta_Lee2020	1	11050001	11050001	9.982	TRUE
Boechera_stricta_Lee2020	1	11150001	11150001	9.982	TRUE
Boechera_stricta_Lee2020	1	11250001	11250001	11.132	TRUE
Boechera_stricta_Lee2020	1	11350001	11350001	11.132	TRUE
Boechera_stricta_Lee2020	1	11450001	11450001	11.414	TRUE
Boechera_stricta_Lee2020	1	11550001	11550001	11.414	TRUE
Boechera_stricta_Lee2020	1	11650001	11650001	11.701	TRUE
Boechera_stricta_Lee2020	1	11750001	11750001	11.987	TRUE
Boechera_stricta_Lee2020	1	11850001	11850001	11.987	TRUE
Boechera_stricta_Lee2020	1	11950001	11950001	11.987	TRUE
Boechera_stricta_Lee2020	1	12050001	12050001	11.987	TRUE
Boechera_stricta_Lee2020	1	12150001	12150001	11.987	TRUE
Boechera_stricta_Lee2020	1	12250001	12250001	11.987	TRUE
Boechera_stricta_Lee2020	1	12350001	12350001	11.987	TRUE
Boechera_stricta_Lee2020	1	12450001	12450001	12.275	TRUE
Boechera_stricta_Lee2020	1	12550001	12550001	12.856	TRUE
Boechera_stricta_Lee2020	1	12650001	12650001	13.437	TRUE
Boechera_stricta_Lee2020	1	12750001	12750001	13.437	TRUE
Boechera_stricta_Lee2020	1	12850001	12850001	13.437	TRUE
Boechera_stricta_Lee2020	1	12950001	12950001	13.437	TRUE
Boechera_stricta_Lee2020	1	13050001	13050001	13.437	TRUE
Boechera_stricta_Lee2020	1	13150001	13150001	13.437	TRUE
Boechera_stricta_Lee2020	1	13250001	13250001	13.725	TRUE
