set	map	mkr	phys	gen	vld
Vitis_vinifera_Brault2020	1	chr1_548144	548144	0	TRUE
Vitis_vinifera_Brault2020	1	chr1_512553	512553	1.30306371071832	TRUE
Vitis_vinifera_Brault2020	1	chr1_512552	512552	1.30306381071832	TRUE
Vitis_vinifera_Brault2020	1	chr1_595102	595102	1.569013502185	TRUE
Vitis_vinifera_Brault2020	1	chr1_304064	304064	1.83497562379254	TRUE
Vitis_vinifera_Brault2020	1	chr1_563657	563657	1.83497572379254	TRUE
Vitis_vinifera_Brault2020	1	chr1_193064	193064	2.10093567732062	TRUE
Vitis_vinifera_Brault2020	1	chr1_555588	555588	2.10093577732062	TRUE
Vitis_vinifera_Brault2020	1	chr1_193071	193071	2.10093587732062	TRUE
Vitis_vinifera_Brault2020	1	chr1_35718	35718	2.10093597732062	TRUE
Vitis_vinifera_Brault2020	1	chr1_633263	633263	3.69892658244041	TRUE
Vitis_vinifera_Brault2020	1	chr1_656178	656178	4.76379271566157	TRUE
Vitis_vinifera_Brault2020	1	chr1_712865	712865	5.02567442558476	TRUE
Vitis_vinifera_Brault2020	1	chr1_712646	712646	5.82525650937393	TRUE
Vitis_vinifera_Brault2020	1	chr1_695452	695452	5.82525660937393	TRUE
Vitis_vinifera_Brault2020	1	chr1_712672	712672	6.09121134958474	TRUE
Vitis_vinifera_Brault2020	1	chr1_698125	698125	6.35636362440526	TRUE
Vitis_vinifera_Brault2020	1	chr1_960634	960634	6.88913323870923	TRUE
Vitis_vinifera_Brault2020	1	chr1_960645	960645	7.42107438680856	TRUE
Vitis_vinifera_Brault2020	1	chr1_997021	997021	7.42107448680856	TRUE
Vitis_vinifera_Brault2020	1	chr1_974793	974793	7.68703412451152	TRUE
Vitis_vinifera_Brault2020	1	chr1_1061766	1061766	7.9529962460559	TRUE
Vitis_vinifera_Brault2020	1	chr1_1061855	1061855	7.95299634605589	TRUE
Vitis_vinifera_Brault2020	1	chr1_1098041	1098041	8.21895600880493	TRUE
Vitis_vinifera_Brault2020	1	chr1_1505585	1505585	8.48492273413504	TRUE
Vitis_vinifera_Brault2020	1	chr1_1552659	1552659	8.75088700801831	TRUE
Vitis_vinifera_Brault2020	1	chr1_1685529	1685529	9.01685133501948	TRUE
Vitis_vinifera_Brault2020	1	chr1_1751527	1751527	9.27617372914053	TRUE
Vitis_vinifera_Brault2020	1	chr1_1889009	1889009	11.68421108382	TRUE
Vitis_vinifera_Brault2020	1	chr1_1623606	1623606	12.2111634773856	TRUE
Vitis_vinifera_Brault2020	1	chr1_1903301	1903301	12.4763134004087	TRUE
Vitis_vinifera_Brault2020	1	chr1_2045541	2045541	12.7414632304287	TRUE
Vitis_vinifera_Brault2020	1	chr1_2244872	2244872	13.2742328298427	TRUE
Vitis_vinifera_Brault2020	1	chr1_1959458	1959458	13.8061714586494	TRUE
Vitis_vinifera_Brault2020	1	chr1_1990067	1990067	13.8061715586494	TRUE
Vitis_vinifera_Brault2020	1	chr1_2287692	2287692	13.8061716586494	TRUE
Vitis_vinifera_Brault2020	1	chr1_2940435	2940435	15.9409343827847	TRUE
Vitis_vinifera_Brault2020	1	chr1_2131668	2131668	16.2011238482496	TRUE
Vitis_vinifera_Brault2020	1	chr1_2244084	2244084	16.4654623079558	TRUE
Vitis_vinifera_Brault2020	1	chr1_2539724	2539724	17.2650393799795	TRUE
Vitis_vinifera_Brault2020	1	chr1_2539727	2539727	17.2650394799795	TRUE
Vitis_vinifera_Brault2020	1	chr1_2546571	2546571	17.2650395799795	TRUE
Vitis_vinifera_Brault2020	1	chr1_2539824	2539824	17.2650396799795	TRUE
Vitis_vinifera_Brault2020	1	chr1_3204978	3204978	17.2650397799795	TRUE
Vitis_vinifera_Brault2020	1	chr1_2880238	2880238	17.5309994353642	TRUE
Vitis_vinifera_Brault2020	1	chr1_3014948	3014948	17.7961517176567	TRUE
Vitis_vinifera_Brault2020	1	chr1_3267420	3267420	18.3289213172467	TRUE
Vitis_vinifera_Brault2020	1	chr1_3635896	3635896	18.8608599412661	TRUE
Vitis_vinifera_Brault2020	1	chr1_3655020	3655020	18.8608600412661	TRUE
Vitis_vinifera_Brault2020	1	chr1_3526343	3526343	18.8608601412661	TRUE
Vitis_vinifera_Brault2020	1	chr1_2905096	2905096	18.8608602412661	TRUE
Vitis_vinifera_Brault2020	1	chr1_3676647	3676647	18.8608603412661	TRUE
Vitis_vinifera_Brault2020	1	chr1_3676639	3676639	18.8608604412661	TRUE
Vitis_vinifera_Brault2020	1	chr1_3742020	3742020	18.8608605412661	TRUE
