Marker	Chr	cM
IWB59140	2B	20.20997
IWB11378	2B	20.606
IWB11379	2B	20.20997
IWB17368	2B	23.50918
IWB7407	2B	20.606
IWB15924	2B	20.20997
IWB32317	2B	20.20997
IWA4808	2B	20.20997
IWA4723	2B	20.86483
IWB45010	2B	20.86483
IWB43909	2B	20.86483
IWB25535	2B	20.16008
IWB50555	2B	19.15598
IWB26054	2B	19.84513
IWB7669	2B	19.15598
IWA6262	2B	19.15598
IWB22941	2B	19.15598
IWB74531	2B	16.87959
IWB32486	2B	19.15598
IWA7633	2B	19.15598
IWB51150	2B	19.15598
IWB20867	2B	16.87959
IWB26313	2B	16.87959
IWB34938	2B	16.87959
IWB35642	2B	16.87959
IWB26314	2B	16.87959
IWB23866	2B	16.87959
IWB21872	2B	16.87959
IWB55770	2B	18.86909
IWB36390	2B	16.87959
IWB24835	2B	16.87959
IWB24834	2B	16.87959
IWB58123	2B	16.87959
IWB24457	2B	16.87959
IWB47038	2B	16.87959
IWB8754	2B	16.87959
IWB11320	2B	16.87959
IWB11321	2B	16.87959
IWB35667	2B	16.87959
IWB36143	2B	16.87959
IWB59257	2B	18.86909
IWA1413	2B	16.87959
IWB10720	2B	16.87959
IWB2289	2B	16.87959
IWB8416	2B	17.93047
IWB75048	2B	17.93047
IWB47291	2B	16.87959
IWB12069	2B	16.87959
IWB46236	2B	17.93047
IWB217	2B	16.87959
IWB991	2B	17.93047
IWB66352	2B	16.87959
IWB66351	2B	16.87959
IWB54334	2B	18.18617
IWB48525	2B	23.89897
IWB3937	2B	25.10889
IWB5503	2B	25.10889
IWB11217	2B	23.50918
IWB6918	2B	26.47784
IWB1326	2B	23.89897
IWB59943	2B	26.47784
IWB59945	2B	23.50918
IWB48463	2B	25.10889
IWB10931	2B	26.47784
IWB10853	2B	26.47784
IWB42660	2B	26.47784
IWB32344	2B	26.47784
IWB55108	2B	26.47784
IWB27344	2B	26.47784
IWB24314	2B	26.47784
IWB542	2B	26.99237
IWB7915	2B	32.16258
IWB72375	2B	26.10676
IWA2304	2B	26.10676
IWB8328	2B	26.10676
IWB73884	2B	27.19818
IWB11557	2B	27.19818
IWB41644	2B	27.19818
IWB62546	2B	27.19818
IWB72156	2B	27.19818
IWB29097	2B	26.10676
IWB7674	2B	27.19818
IWB9583	2B	27.19818
IWB26388	2B	27.19818
IWB59719	2B	32.16258
IWB46573	2B	27.19818
IWB12617	2B	27.19818
IWB7013	2B	27.19818
IWB71519	2B	27.19818
IWB46230	2B	27.19818
IWB24938	2B	27.19818
IWB32197	2B	32.16258
IWB62118	2B	28.49541
IWB43468	2B	28.49541
IWB60877	2B	27.19818
IWB26232	2B	27.19818
IWB26233	2B	27.19818
IWB26231	2B	27.19818
IWB70698	2B	32.16258
IWB9739	2B	32.16258
IWB65752	2B	32.16258
IWB8850	2B	32.16258
IWB57508	2B	16.87959
IWB3039	2B	34.25187
IWB32606	2B	34.25187
IWB10435	2B	32.16258
IWB10616	2B	32.16258
IWB12404	2B	38.66744
IWB10512	2B	39.01358
IWA7936	2B	41.35857
IWA2407	2B	38.66744
IWB47095	2B	40.96878
IWB5813	2B	40.96878
IWB8132	2B	42.46558
IWB6356	2B	42.46558
IWB30434	2B	42.46558
IWB61608	2B	42.46558
IWA8430	2B	42.46558
IWA6768	2B	42.46558
IWB6033	2B	46.76266
IWB9111	2B	42.91462
IWB9433	2B	42.91462
IWB6410	2B	46.76266
IWB61616	2B	42.46558
IWB8489	2B	42.46558
IWB9006	2B	47.49858
IWB32593	2B	48.06924
IWB69830	2B	46.76266
IWB26149	2B	48.54011
IWB69976	2B	48.54011
IWB12972	2B	48.54011
