set	map	mkr	phys	gen	vld
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_1678356	2204905	0	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_1678347	2204914	0	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_1815362	2067899	1.05033415196427	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_1788178	2095083	1.05033415196427	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2389258	1494003	3.90496208838913	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2479563	1403698	4.23614130820773	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2480409	1402852	4.23614130820773	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2464443	1418818	4.23614130820773	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2464459	1418802	4.23614130820773	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2990611	892650	6.91947190474687	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3442880	440381	11.3175858349912	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3442955	440306	11.3175858349912	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3616080	267181	14.8100410475352	FALSE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3630895	252366	19.6340531909214	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3605360	277901	19.979050520962	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3599373	283888	19.979050520962	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3630046	253215	20.3240478510027	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3629928	253333	20.3240478510027	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3630783	252478	20.3240478510027	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3772816	110445	22.0681801826095	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3772868	110393	22.0681801826095	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3775317	107944	22.0681801826095	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3398920	484341	26.5870656929726	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3398844	484417	26.5870656929726	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3398830	484431	26.5870656929726	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3308337	574924	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3311456	571805	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3300828	582433	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3308305	574956	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3253609	629652	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3253598	629663	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3268069	615192	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3310384	572877	29.5021607709949	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3142933	740328	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3157137	726124	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3176930	706331	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3197984	685277	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3198913	684348	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3198961	684300	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3214846	668415	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3228368	654893	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3198060	685201	30.4329463087669	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3034738	848523	31.0398169980083	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3034602	848659	31.0398169980083	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3046277	836984	31.0398169980083	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3070910	812351	31.0398169980083	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3074526	808735	31.0398169980083	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_3074542	808719	31.0398169980083	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2890042	993219	32.2947157845021	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2914233	969028	32.2947157845021	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2898828	984433	32.2947157845021	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2768353	1114908	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2768384	1114877	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2768322	1114939	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2704221	1179040	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2747774	1135487	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2743719	1139542	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2736366	1146895	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2704147	1179114	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2747835	1135426	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2768417	1114844	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2789111	1094150	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2806017	1077244	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2845754	1037507	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2704283	1178978	32.6201078294375	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2528748	1354513	35.0361594698879	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2536380	1346881	35.0361594698879	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2511493	1371768	35.0361594698879	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2490377	1392884	36.7379986296656	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2427009	1456252	36.7379986296656	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2352902	1530359	38.4097843084441	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2331587	1551674	38.4097843084441	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2292011	1591250	38.4097843084441	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2265367	1617894	38.4097843084441	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2233465	1649796	38.4097843084441	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2331632	1551629	38.4097843084441	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2209418	1673843	38.728196966487	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2192034	1691227	38.728196966487	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2191987	1691274	38.728196966487	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2191947	1691314	39.0535890114223	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2191932	1691329	39.0535890114223	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2154976	1728285	40.0846788259761	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2026045	1857216	40.7797139384352	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2026405	1856856	40.7797139384352	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2058986	1824275	40.7797139384352	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2058999	1824262	40.7797139384352	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2100197	1783064	40.7797139384352	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2100378	1782883	40.7797139384352	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_2129744	1753517	40.7797139384352	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_1999597	1883664	41.1247112684759	TRUE
Cucurbita_pepo_MonteroPau2017	1	CP32_scaffold000010_1999190	1884071	41.1247112684759	TRUE
