set	map	mkr	phys	gen	vld
Phoenix_dactylifera_Mathew2014	1	altPDK30s826511_5747_4344	1604055	0	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s826511_5747_4344	1604055	0	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s826511_5747_4381	1604094	0	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s922041_9194_5682	1778256	0	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s997901_14257_1077	1613423	0	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s864551_818_461	140923	0	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s807941_19855_4078	2043083	1.992	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s807941_19855_4078	2043083	1.992	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1038011_20235_5481	2066724	1.992	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s730761_52877_4952	2197778	1.992	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s730761_52877_4961	2197769	1.992	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s795501_39457_7090	688874	2.807	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s751671_14865_7026	2445458	2.807	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s751671_14865_7027	2445457	2.807	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s711791_19973_19013	2482600	2.807	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s795501_39457_6853	689110	2.807	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s795501_39457_7090	688874	2.807	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1005311_7751_2007	1198664	7.275	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s877171_13149_5871	1177244	7.275	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1005311_7751_2007	1198664	7.275	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1107561_3304_203	1268133	7.624	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1107561_3304_198	1268138	7.624	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1107561_3304_203	1268133	7.624	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1107561_3304_403	1267933	7.624	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1107561_3304_422	1267914	7.624	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1107561_3304_426	1267910	7.624	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1107561_3304_432	1267904	7.624	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1060481_6814_3201	1583086	10.605	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s681911_41045_9109	1419959	10.605	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1060481_6814_3201	1583086	10.605	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s681911_41045_9100	1419968	10.605	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s681911_41045_9149	1419919	10.605	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s874171_21840_6696	3851021	10.605	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_4928	1777502	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s711791_19973_19046	2482633	11.245	TRUE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s658491_5976_2580	NA	11.245	FALSE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s658491_5976_2602	NA	11.245	FALSE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_4928	1777502	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s792141_18671_16080	2483821	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_5463	1778037	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s667311_8040_1175	2212718	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s667311_8040_1187	2212706	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s826511_5747_4571	1604284	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_4873	1777447	11.245	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s997901_14257_1045	1613391	11.245	TRUE
Phoenix_dactylifera_Mathew2014	NA	refPDK30s1054411_31468_4997	NA	11.956	FALSE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1186431_845_434	4712504	11.956	TRUE
Phoenix_dactylifera_Mathew2014	NA	refPDK30s1054411_31468_4997	NA	11.956	FALSE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1186431_845_211	4712727	11.956	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s874171_21840_6696	3851021	12.08	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s681911_41045_9109	1419959	12.08	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1060481_6814_3201	1583086	12.08	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s681911_41045_9100	1419968	12.08	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s681911_41045_9149	1419919	12.08	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s874171_21840_6696	3851021	12.08	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s812061_6557_5655	2019305	12.661	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s812061_6557_5303	2019657	12.661	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s812061_6557_5655	2019305	12.661	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s667311_8040_1175	2212718	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s711791_19973_19046	2482633	12.748	TRUE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s658491_5976_2580	NA	12.748	FALSE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s658491_5976_2602	NA	12.748	FALSE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_4928	1777502	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s792141_18671_16080	2483821	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_5463	1778037	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s667311_8040_1175	2212718	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s667311_8040_1187	2212706	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s826511_5747_4571	1604284	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_4873	1777447	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s997901_14257_1045	1613391	12.748	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1013791_6025_378	2838512	13.691	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1013791_6025_133	2838267	13.691	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1013791_6025_378	2838512	13.691	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s864551_818_114	141262	14.197	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s864551_818_114	141262	14.197	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s864551_818_175	141201	14.197	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s826511_5747_1716	1602479	14.827	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s826511_5747_1721	1602484	14.827	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s826511_5747_1716	1602479	14.827	TRUE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s658491_5976_2602	NA	14.878	FALSE
Phoenix_dactylifera_Mathew2014	1	malPDK30s711791_19973_19046	2482633	14.878	TRUE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s658491_5976_2580	NA	14.878	FALSE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s658491_5976_2602	NA	14.878	FALSE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_4928	1777502	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s792141_18671_16080	2483821	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_5463	1778037	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s667311_8040_1175	2212718	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s667311_8040_1187	2212706	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s826511_5747_4571	1604284	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s922041_9194_4873	1777447	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s997901_14257_1045	1613391	14.878	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s877171_13149_5903	1177212	17.799	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s779831_24614_22953	3435360	17.799	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s779831_24614_23204	3435611	17.799	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s877171_13149_5903	1177212	17.799	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s748791_15673_9096	3528492	19.147	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s748791_15673_9090	3528486	19.147	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s748791_15673_9096	3528492	19.147	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s748791_15673_9349	3528745	19.147	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1114081_34013_6172	6891691	20.111	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1114081_34013_6172	6891691	20.111	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1114081_34013_6173	6891690	20.111	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1044941_852_505	7847542	22.492	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1044941_852_505	7847542	22.492	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s1044941_852_229	3551291	22.492	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31787	3932256	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s906831_25358_3892	3976506	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s906831_25358_3953	3976445	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1054411_31468_17758	4285559	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1054411_31468_17766	4285550	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38778	4445538	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38784	4445544	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38785	4445545	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38839	4445599	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_2839	3962686	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_2846	3962679	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_3180	3962345	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31787	3932256	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31818	3932227	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31832	3932213	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_28171	3935869	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1095901_13122_3361	3916922	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31818	3932227	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s906831_25358_3892	3976506	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s906831_25358_3953	3976445	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1054411_31468_17758	4285559	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1054411_31468_17766	4285550	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38778	4445538	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38784	4445544	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38785	4445545	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38839	4445599	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_2839	3962686	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_2846	3962679	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_3180	3962345	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31787	3932256	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31818	3932227	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31832	3932213	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_28171	3935869	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1095901_13122_3361	3916922	22.526	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1095901_13122_3361	3916922	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s906831_25358_3892	3976506	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s906831_25358_3953	3976445	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1054411_31468_17758	4285559	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1054411_31468_17766	4285550	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38778	4445538	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38784	4445544	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38785	4445545	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_38839	4445599	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_2839	3962686	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_2846	3962679	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_3180	3962345	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31787	3932256	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31818	3932227	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_31832	3932213	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s916721_34310_28171	3935869	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1095901_13122_3361	3916922	23.015	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s874171_21840_3693	3848080	23.142	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s874171_21840_3693	3848080	23.142	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s874171_21840_3935	3848260	23.142	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_51913	4458667	24.184	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_51637	4458391	24.184	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s895701_55536_51913	4458667	24.184	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1064331_1320_303	5104640	24.185	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s1064331_1320_303	5104640	24.185	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s679991_41585_1168	5228653	24.185	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s679991_41585_1169	5228652	24.185	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s679991_41585_831	5228990	24.185	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s679991_41585_832	5228989	24.185	TRUE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s745731_17524_14374	NA	25.468	FALSE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s745731_17524_14374	NA	25.468	FALSE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s745731_17524_14408	NA	25.468	FALSE
Phoenix_dactylifera_Mathew2014	NA	altPDK30s872941_8951_4901	NA	26.169	FALSE
Phoenix_dactylifera_Mathew2014	NA	altPDK30s872941_8951_4901	NA	26.169	FALSE
Phoenix_dactylifera_Mathew2014	1	refPDK30s767931_17340_7433	5565494	26.169	TRUE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s828021_8660_3691	NA	26.547	FALSE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s6550985_57838_17737	NA	26.547	FALSE
Phoenix_dactylifera_Mathew2014	NA	malPDK30s828021_8660_3691	NA	26.547	FALSE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s952961_34781_17518	6931384	27.099	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s952961_34781_17518	6931384	27.099	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s952961_34781_17753	6931619	27.099	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s824891_2064_1369	5487930	28.459	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s824891_2064_1369	5487930	28.459	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s824891_2064_1411	5487972	28.459	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s925761_17569_14585	5698300	29.14	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s719111_26537_25300	6065988	29.14	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s925761_17569_14559	5795464	29.14	TRUE
Phoenix_dactylifera_Mathew2014	1	hetPDK30s925761_17569_14585	5698300	29.14	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s707611_6691_3503	8281564	30.219	TRUE
Phoenix_dactylifera_Mathew2014	NA	refPDK30s804471_9206_4584	NA	30.219	FALSE
Phoenix_dactylifera_Mathew2014	1	altPDK30s707611_6691_3503	8281564	30.219	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s707611_6691_3797	8281858	30.219	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1013491_47744_4881	6150098	30.232	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1013491_47744_4881	6150098	30.232	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1083491_53368_51689	6030483	30.232	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s719111_26537_25291	6065979	30.232	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1114081_34013_6319	6891544	30.737	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s898721_17339_10773	6721389	30.737	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s898721_17339_11421	6720744	30.737	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1114081_34013_6319	6891544	30.737	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1165911_56514_3288	6738464	30.737	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1114081_34013_15251	6870282	30.737	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s654701_47389_13076	9134310	30.914	TRUE
Phoenix_dactylifera_Mathew2014	1	altPDK30s806301_3122_96	8815732	30.914	TRUE
Phoenix_dactylifera_Mathew2014	1	refPDK30s654701_47389_13076	9134310	30.914	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1114081_34013_15251	6870282	31.433	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s898721_17339_10773	6721389	31.433	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s898721_17339_11421	6720744	31.433	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1114081_34013_6319	6891544	31.433	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1165911_56514_3288	6738464	31.433	TRUE
Phoenix_dactylifera_Mathew2014	1	malPDK30s1114081_34013_15251	6870282	31.433	TRUE
