phys	rec.rate	upper	lower
0.15	3.63179555751681	4.2431912757424	3.06047117730302
0.375	3.67205562653478	4.26772195087624	3.10665500319612
0.6	3.70568964062116	4.30131252156851	3.17135178208506
0.8	3.72436902618002	4.332421362036	3.22222433806848
0.975	3.73527605901891	4.31717539181952	3.25845221713212
1.1	3.73988574628842	4.302988024979	3.28807749063404
1.2	3.74322295534788	4.28833217227752	3.31111889036328
1.3	3.74550038038675	4.27085063646965	3.33372592282815
1.4	3.74699437273937	4.23630884754952	3.35541800239566
1.525	3.74773965794552	4.2128732610566	3.37907034636984
1.675	3.7475914399706	4.17209905924345	3.40639671209436
1.8	3.74681581672394	4.1490215143695	3.4335600460754
1.9	3.74573892331054	4.1280156660648	3.45124042068878
2	3.7449131044849	4.09906654960963	3.47039956914077
2.1	3.74501135073508	4.07758669916445	3.4894911198742
2.2	3.74670700215388	4.05986794819867	3.50824431852722
2.3	3.75087459454546	4.0478192102245	3.53164165344211
2.4	3.75769262564073	4.0608642775624	3.54841522989506
2.5	3.76631082305287	4.06064647339685	3.55828743693926
2.6	3.77608574338955	4.0558788562885	3.5757199541025
2.7	3.78645825642533	4.05703421282123	3.58592473570737
2.8	3.79615947649253	4.07894466160608	3.59337268722245
2.9	3.80340686770903	4.07989595678791	3.59067109533105
3	3.80744443669862	4.07271306926783	3.58491078377748
3.1	3.80813555732409	4.05806609140358	3.55696389371104
3.2	3.80475970660887	4.04783880813067	3.52343811435627
3.3	3.79637450163373	4.03714429351619	3.45951117508473
3.4	3.78307610674801	4.02823694889531	3.40335308518033
3.5	3.76503564562093	4.02490936896881	3.25407907734809
3.6	3.74293023374208	4.02791800931222	3.17959880935213
3.7	3.7195866606157	4.0287287690296	3.11848215775356
3.825	3.69007438975186	4.03354889976856	3.020221703572
4.025	3.65960323897231	4.06291459355606	2.88961506873934
4.25	3.66578302084093	4.10131377306822	2.87119162266634
4.4	3.69366504874218	4.13741153511253	2.98890151953048
4.5	3.7178751125064	4.14368485403939	3.03569458084979
4.6	3.74758060472091	4.16449906704607	3.12732702148027
4.7	3.78419372088621	4.18703305761589	3.2418741900061
4.8	3.82868721787022	4.21842062265145	3.34453121625881
4.9	3.88090429262163	4.2559977356608	3.44337004718048
5	3.93972540661763	4.30802202743853	3.50105490751036
5.1	4.00554763757025	4.37678226690721	3.60032600794192
5.2	4.07792837702181	4.47654196104536	3.66121522123645
5.3	4.15365213310863	4.60620491586541	3.7445254368642
5.4	4.23163243724841	4.7072667643428	3.80781073187483
5.5	4.31278238866864	4.83059389200992	3.90396418445451
5.6	4.39511377201948	4.95292095689629	3.97386911574195
5.725	4.49645783067578	5.02734350868097	4.08882641077421
5.875	4.61571272326055	5.11049272515748	4.2180021588812
6	4.71213321481866	5.16821345151653	4.32760244607374
6.1	4.78752263283094	5.2223633720183	4.41340354509117
6.2	4.86254790097437	5.24160607870992	4.50174031525768
6.3	4.93711235624917	5.30187380267119	4.59045625717456
6.4	5.01031053129777	5.38139801662305	4.67353540366242
6.5	5.08173549316402	5.44302487884615	4.74388999673487
6.625	5.16616837558321	5.52074326042139	4.83962598785428
6.775	5.25218450007132	5.64180881896349	4.92904410288823
6.9	5.31106639141545	5.68538889563275	4.99564503233208
7	5.35290707086238	5.72942857612877	5.02540471960068
7.1	5.38963590218948	5.76598829388125	5.05142520774559
7.2	5.42143792730688	5.7946354741109	5.07234655001818
7.3	5.44965597198932	5.82535625103033	5.07496116908224
7.4	5.47631638500775	5.83912230666199	5.09140487307733
7.5	5.50289407603954	5.86872220385469	5.15163968718211
7.6	5.52997608358808	5.91144895462403	5.19113547675655
7.7	5.5590935644141	5.9330425949255	5.20414806189027
7.8	5.5902297436711	5.95728967133015	5.257216806021
7.925	5.63209197906923	5.99477431855662	5.2905376092688
8.075	5.67825838244191	6.02619865110228	5.36325642168856
8.2	5.71490534788284	6.06120380021374	5.42904255344276
8.3	5.75046632960906	6.09011346502854	5.46144830862787
8.4	5.78732920281133	6.12079232035291	5.48316981911328
8.5	5.82250761382051	6.17722199356975	5.49523158850524
8.6	5.85685787158049	6.23371698610878	5.50655891076604
8.7	5.88985019930652	6.3070783397722	5.48850096908968
8.8	5.91882543713996	6.37647393928532	5.47617325446645
8.925	5.94527255555889	6.44891790989303	5.4780002581469
9.075	5.94497454555035	6.51375669647062	5.45456573634277
9.2	5.91706588359174	6.56168564537065	5.37652222039345
9.3	5.88533678665855	6.56052497467208	5.31312643387412
9.4	5.84698269648134	6.515244369469	5.26001041264319
9.525	5.78545536760087	6.43509077769306	5.22216124698773
9.675	5.67391521472159	6.29077202749725	5.15699834110395
9.8	5.55092218175229	6.15469082023338	5.06448249932196
9.9	5.44245288980435	6.03109883487564	4.97907953417283
10	5.32855836125874	5.87894684577067	4.89897435264338
10.1	5.21327151236253	5.73498126106124	4.85515190690121
10.2	5.10065484467136	5.56424769303119	4.77953986501216
10.3	4.99047310979659	5.43985616956228	4.69060330433647
10.4	4.88339968836685	5.29160278543233	4.5860311231631
10.525	4.75515885970351	5.12418865386497	4.42949139139689
10.675	4.60380010536595	4.92550360820566	4.25018397507287
10.8	4.48218078808086	4.79906064571384	4.11388809127175
10.9	4.39035508671483	4.71544564317778	4.02291822007686
11	4.30223293954674	4.62279656032439	3.91239857654737
11.1	4.21804223599274	4.54039883571763	3.82184069893684
11.2	4.13802178168068	4.4539180197812	3.73208317505409
11.3	4.06094661368195	4.37377926843493	3.67684446502541
11.4	3.98650330203604	4.2906179989937	3.62503741922397
11.5	3.91409079644826	4.20259980348056	3.57598553719916
11.6	3.84127039994797	4.12552463904681	3.50860014267525
11.725	3.74989979706433	4.02038980942245	3.44150668759375
11.875	3.6421581742906	3.89807530534391	3.37385266458169
12.025	3.53410450459996	3.7639702925094	3.3045739037983
12.175	3.42383218921312	3.63670805722898	3.21593794122597
12.3	3.33043124903191	3.52614920032685	3.12601021106936
12.4	3.25362002472604	3.43266575765237	3.05527271495711
12.5	3.17470949782362	3.35357319169157	2.99155708327075
12.6	3.09401963912721	3.27669379309031	2.89407200309168
12.725	2.99168314364032	3.18027410140687	2.78342957336153
12.875	2.87157744022811	3.05524753440606	2.63697326140609
13	2.77417885427301	2.95608268885297	2.52135516506614
13.1	2.69611023529789	2.89163961387695	2.42978751751465
13.225	2.59879775135088	2.79645340188233	2.31635773830895
13.375	2.48542133351999	2.69003291593415	2.18416733924226
13.5	2.39263076378587	2.60987207179106	2.08160016286855
13.625	2.29678317173394	2.51995327091418	1.97906679328317
13.775	2.18136990142537	2.42217609508951	1.8544778642933
14.075	1.9615414250057	2.20562349541079	1.65516288388543
14.525	1.69506401001137	1.97826949291765	1.37950996612716
14.825	1.55957999168773	1.88462897327371	1.22118956550621
14.975	1.49744327227912	1.85008219476705	1.1446311738881
15.2	1.4048967249658	1.75227206078625	1.06642615522384
15.525	1.28828278036484	1.64092209622582	0.960447817384583
15.825	1.19950569550701	1.57072035369716	0.866464948668566
16.125	1.119802718977	1.49518092442952	0.774671262267992
16.6	1.03249888095853	1.37874305457035	0.696623058510588
17.225	1.01419722620933	1.32222409639087	0.734606193659162
17.7	1.07457449567718	1.30839734986899	0.834798130866657
17.9	1.11698384830967	1.32839627139108	0.867454051781782
18	1.13626419072632	1.34442463087744	0.873778150730544
18.1	1.15287343808822	1.3526688993141	0.883657652119772
18.2	1.16689210202899	1.35427309177879	0.888650418505406
18.3	1.17782594434533	1.36487727017394	0.887012134176293
18.4	1.1858322158715	1.36383829418962	0.893107874974615
18.5	1.19183171898697	1.35796641524972	0.905050245563407
18.6	1.19613286443365	1.36848146958057	0.914462533571546
18.875	1.20225223832423	1.39044532008308	0.948940967644687
19.325	1.20836693135105	1.41039552628215	0.988965497417451
19.65	1.20879162331623	1.40689909338975	1.02413289851015
19.85	1.20854660160343	1.40162814592371	1.04948372182106
20	1.20816972400399	1.39016115907344	1.06085462151272
20.1	1.20888943027467	1.39357811401325	1.06230773398574
20.225	1.21011010606319	1.3895626110708	1.05915301151653
20.4	1.2098237625314	1.38294200599124	1.0664711212372
20.575	1.20551818981604	1.38148479410755	1.05302564610521
20.725	1.19867752064548	1.37420839375314	1.0457891884495
20.875	1.18922298519607	1.36966356478746	1.03183008205501
21	1.18021205654852	1.35825389823709	1.02307593112192
21.175	1.16671515426533	1.33756489601115	1.01229834742942
