Marker	Chr	cM
MJM_9	LG1	0
SNP_JMP000908	LG1	8.2
NP_JMP000907	LG1	8.2
SNP_JMP000328	LG1	14.5
SNP_JMP000211	LG1	16.1
SNP_JMP000088	LG1	16.1
SNP_JMP000694	LG1	16.6
SNP_JMP000233	LG1	16.6
SNP_JMP000234	LG1	19.3
SNP_JMP000698	LG1	20.3
SNP_JMP000249	LG1	22.4
SNP_JMP000671	LG1	25.1
SNP_JMP000654	LG1	26.1
SNP_JMP000672	LG1	28.2
SNP_JMP000551	LG1	30.9
MJM18	LG1	39.1
MJM_22	LG1	40.2
MJM_123	LG1	43.5
MJM_136	LG1	53.5
SNP_JMP000759	LG1	56.7
SNP_JMP000573	LG1	62.8
SNP_JMP000425	LG1	65.4
SNP_JMP000426	LG1	65.9
SNP_JMP000424	LG1	66.9
SNP_JMP000703	LG1	69.5
SNP_JMP000421	LG1	73.3
SNP_JMP000175	LG1	74.3
SNP_JMP000174	LG1	75.3
SNP_JMP000598	LG1	75.3
SNP_JMP000420	LG1	76.3
MJM_141	LG1	85.5
SNP_JMP000267	LG1	97.5
SNP_JMP000757	LG1	107.8
SNP_JMP000604	LG1	113.5
SNP_JMP000709	LG1	123.1
SNP_JMP000640	LG1	126.8
SNP_JMP000285	LG1	128.9
SNP_JMP000284	LG1	129.9
MJM_602	LG1	132.7
MJM_600	LG1	144.5
SNP_JMP000180	LG1	162.6
SNP_JMP000178	LG1	166.9
SNP_JMP000601	LG1	169.5
SNP_JMP000455	LG1	170.5
SNP_JMP000456	LG1	173.1
SNP_JMP000255	LG1	176.3
SNP_JMP000256	LG1	178.4
SNP_JMP000239	LG1	179.4
SNP_JMP000179	LG1	180.4
SNP_JMP000328	LG1	183
SNP_JMP000606	LG1	190
SNP_JMP000705	LG1	192.1
SNP_JMP000706	LG1	193.1
SNP_JMP000397	LG1	196.9
SNP_JMP000176	LG1	201.4
SNP_JMP000166	LG1	204.7
SNP_JMP000167	LG1	205.7
SNP_JMP000168	LG1	207.8
SNP_JMP000128	LG1	212.2
SNP_JMP000169	LG1	216.5
SNP_JMP000318	LG1	218.1
SNP_JMP000130	LG1	221.8
SNP_JMP000916	LG1	226.1
SNP_JMP000952	LG1	226.1
SNP_JMP000948	LG1	227.7
SNP_JMP000290	LG1	250.2
SNP_JMP000228	LG1	258.3
SNP_JMP000685	LG1	261.5
SNP_JMP000686	LG1	261.5
MJM_568	LG1	266.1
SNP_JMP000550	LG1	271.4
SNP_JMP000468	LG1	274
SNP_JMP000469	LG1	277.2
SNP_JMP000164	LG1	281
SNP_JMP000165	LG1	282
SNP_JMP000238	LG1	283.5
SNP_JMP000364	LG1	285.1
SNP_JMP000912	LG1	288.3
SNP_JMP000148	LG1	294.6
SNP_JMP000332	LG1	297.3
SNP_JMP000045	LG1	301
SNP_JMP000560	LG1	304.2
SNP_JMP000657	LG1	305.8
SNP_JMP000558	LG1	306.8
SNP_JMP000559	LG1	307.8
SNP_JMP000656	LG1	308.3
SNP_JMP000893	LG1	309.8
SNP_JMP000360	LG2	0
DNP_JMP000923	LG2	2.1
SNP_JMP000924	LG2	3.1
SNP_JMP000919	LG2	3.1
SNP_JMP000404	LG2	4.7
MJM_607	LG2	7.4
SNP_JMP000660	LG2	19.8
SNP_JMP000186	LG2	42.7
MJM_574	LG2	48.9
SNP_JMP000548	LG2	61.8
SNP_JMP000345	LG2	72.2
SNP_JMP000039	LG2	73.8
SNP_JMP000274	LG2	75.4
