sat	map	mkr	gen	phys	vld
Brassica_oleracea	1	Marker247206	0	38392033	TRUE
Brassica_oleracea	1	Marker249170	0	37246879	TRUE
Brassica_oleracea	1	Marker251999	0	37585925	TRUE
Brassica_oleracea	1	Marker252738	0	38689830	TRUE
Brassica_oleracea	1	Marker256248	0	37298617	TRUE
Brassica_oleracea	1	Marker256525	0	37940393	TRUE
Brassica_oleracea	1	Marker256539	0	38676110	TRUE
Brassica_oleracea	1	Marker257481	0	38562150	TRUE
Brassica_oleracea	1	Marker258178	0	37536490	TRUE
Brassica_oleracea	1	Marker264823	0	37701498	TRUE
Brassica_oleracea	1	Marker265885	0	38551704	TRUE
Brassica_oleracea	1	Marker265950	0	38609595	TRUE
Brassica_oleracea	1	Marker269012	0	37622235	TRUE
Brassica_oleracea	1	Marker270306	0	37969800	TRUE
Brassica_oleracea	1	Marker244123	1.266	36873933	TRUE
Brassica_oleracea	1	Marker254801	1.266	36447335	TRUE
Brassica_oleracea	1	Marker259015	1.266	37176695	TRUE
Brassica_oleracea	1	Marker265242	1.266	36508711	TRUE
Brassica_oleracea	1	Marker243279	2.532	36255011	TRUE
Brassica_oleracea	1	Marker243989	2.532	36059084	TRUE
Brassica_oleracea	1	Marker244997	2.532	36044523	TRUE
Brassica_oleracea	1	Marker245919	2.532	36080798	TRUE
Brassica_oleracea	1	Marker255747	2.532	35940630	TRUE
Brassica_oleracea	1	Marker256882	2.532	36254308	TRUE
Brassica_oleracea	1	Marker258679	2.532	36275318	TRUE
Brassica_oleracea	1	Marker265339	2.532	36188661	TRUE
Brassica_oleracea	1	Marker270038	2.532	36058741	TRUE
Brassica_oleracea	1	Marker271724	2.532	36419637	TRUE
Brassica_oleracea	1	Marker272772	2.532	36321698	TRUE
Brassica_oleracea	1	Marker251897	3.798	35672860	TRUE
Brassica_oleracea	1	Marker252783	3.798	35569288	TRUE
Brassica_oleracea	1	Marker259904	5.064	35516814	TRUE
Brassica_oleracea	1	Marker253528	7.598	35515034	TRUE
Brassica_oleracea	1	Marker259875	7.598	35514505	TRUE
Brassica_oleracea	1	Marker247349	8.864	34554343	TRUE
Brassica_oleracea	1	Marker259838	8.864	34508010	TRUE
Brassica_oleracea	1	Marker242557	10.13	34208388	TRUE
Brassica_oleracea	1	Marker247527	10.13	34143022	TRUE
Brassica_oleracea	1	Marker255284	10.13	34021522	TRUE
Brassica_oleracea	1	Marker266415	10.13	34037122	TRUE
Brassica_oleracea	1	Marker249081	11.396	33748624	TRUE
Brassica_oleracea	1	Marker257846	11.396	33932782	TRUE
Brassica_oleracea	1	Marker257929	11.396	33267444	TRUE
Brassica_oleracea	1	Marker267120	11.396	33237634	TRUE
Brassica_oleracea	1	Marker268699	11.396	33872289	TRUE
Brassica_oleracea	1	Marker242517	12.663	22568026	TRUE
Brassica_oleracea	1	Marker243188	12.663	31002948	TRUE
Brassica_oleracea	1	Marker243966	12.663	28708606	TRUE
Brassica_oleracea	1	Marker244761	12.663	30086074	TRUE
Brassica_oleracea	1	Marker245332	12.663	29501310	TRUE
Brassica_oleracea	1	Marker246188	12.663	28747174	TRUE
Brassica_oleracea	1	Marker247327	12.663	28662205	TRUE
Brassica_oleracea	1	Marker248458	12.663	28582996	TRUE
Brassica_oleracea	1	Marker248830	12.663	25632727	TRUE
Brassica_oleracea	1	Marker249001	12.663	25960437	TRUE
Brassica_oleracea	1	Marker249003	12.663	32193944	TRUE
Brassica_oleracea	1	Marker249982	12.663	28512078	TRUE
Brassica_oleracea	1	Marker251056	12.663	22720884	TRUE
Brassica_oleracea	1	Marker251070	12.663	24934531	TRUE
Brassica_oleracea	1	Marker251533	12.663	21066788	TRUE
Brassica_oleracea	1	Marker252641	12.663	31773128	TRUE
Brassica_oleracea	1	Marker253396	12.663	26053986	TRUE
Brassica_oleracea	1	Marker253573	12.663	28622267	TRUE
Brassica_oleracea	1	Marker253583	12.663	28650772	TRUE
Brassica_oleracea	1	Marker253619	12.663	31085731	TRUE
Brassica_oleracea	1	Marker253832	12.663	28779667	TRUE
Brassica_oleracea	1	Marker253896	12.663	31293591	TRUE
Brassica_oleracea	1	Marker254640	12.663	31305472	TRUE
Brassica_oleracea	1	Marker254791	12.663	31589430	TRUE
Brassica_oleracea	1	Marker256153	12.663	28251250	TRUE
Brassica_oleracea	1	Marker256236	12.663	28335937	TRUE
Brassica_oleracea	1	Marker256282	12.663	26005399	TRUE
Brassica_oleracea	1	Marker257072	12.663	29160405	TRUE
Brassica_oleracea	1	Marker257530	12.663	24332719	TRUE
Brassica_oleracea	1	Marker257770	12.663	32303448	TRUE
Brassica_oleracea	1	Marker257815	12.663	28247538	TRUE
Brassica_oleracea	1	Marker258041	12.663	28667254	TRUE
Brassica_oleracea	1	Marker259371	12.663	27348579	TRUE
Brassica_oleracea	1	Marker259849	12.663	25558506	TRUE
Brassica_oleracea	1	Marker261102	12.663	32295155	TRUE
Brassica_oleracea	1	Marker261573	12.663	26112327	TRUE
Brassica_oleracea	1	Marker261797	12.663	28204422	TRUE
Brassica_oleracea	1	Marker261861	12.663	31050838	TRUE
Brassica_oleracea	1	Marker262022	12.663	24390072	TRUE
Brassica_oleracea	1	Marker262242	12.663	22688821	TRUE
Brassica_oleracea	1	Marker263156	12.663	29773531	TRUE
Brassica_oleracea	1	Marker264038	12.663	31052056	TRUE
Brassica_oleracea	1	Marker264205	12.663	29921677	TRUE
Brassica_oleracea	1	Marker264287	12.663	29531343	TRUE
Brassica_oleracea	1	Marker264732	12.663	28823666	TRUE
Brassica_oleracea	1	Marker264872	12.663	31022249	TRUE
Brassica_oleracea	1	Marker264882	12.663	29767360	TRUE
Brassica_oleracea	1	Marker266087	12.663	25122488	TRUE
Brassica_oleracea	1	Marker266529	12.663	28805010	TRUE
Brassica_oleracea	1	Marker266738	12.663	31049404	TRUE
Brassica_oleracea	1	Marker267391	12.663	31487353	TRUE
Brassica_oleracea	1	Marker267402	12.663	32457299	TRUE
Brassica_oleracea	1	Marker267854	12.663	30992194	TRUE
Brassica_oleracea	1	Marker267905	12.663	25826454	TRUE
Brassica_oleracea	1	Marker269557	12.663	28746627	TRUE
Brassica_oleracea	1	Marker269652	12.663	28704136	TRUE
Brassica_oleracea	1	Marker270262	12.663	29655154	TRUE
Brassica_oleracea	1	Marker270549	12.663	28432178	TRUE
Brassica_oleracea	1	Marker270565	12.663	29553647	TRUE
Brassica_oleracea	1	Marker270592	12.663	25593335	TRUE
Brassica_oleracea	1	Marker270803	12.663	31346372	TRUE
Brassica_oleracea	1	Marker272475	12.663	25013338	TRUE
Brassica_oleracea	1	Marker272775	12.663	22538886	TRUE
Brassica_oleracea	1	Marker273135	12.663	24808812	TRUE
Brassica_oleracea	1	Marker273288	12.663	26099165	TRUE
Brassica_oleracea	1	Marker246871	13.929	19093084	TRUE
Brassica_oleracea	1	Marker263130	13.929	19530887	TRUE
Brassica_oleracea	1	Marker263540	13.929	16246914	TRUE
Brassica_oleracea	1	Marker263951	13.929	19706529	TRUE
Brassica_oleracea	1	Marker269703	13.929	19587251	TRUE
Brassica_oleracea	1	Marker273203	13.929	19205361	TRUE
Brassica_oleracea	1	Marker254273	15.195	14222433	TRUE
Brassica_oleracea	1	Marker245668	16.461	13749479	TRUE
Brassica_oleracea	1	Marker249376	16.461	11775131	TRUE
Brassica_oleracea	1	Marker267804	16.461	14136968	TRUE
Brassica_oleracea	1	Marker270633	16.461	12724292	TRUE
Brassica_oleracea	1	Marker273837	16.461	13987378	TRUE
Brassica_oleracea	1	Marker244912	17.727	11772130	TRUE
Brassica_oleracea	1	Marker264178	17.727	11390432	TRUE
Brassica_oleracea	1	Marker257389	26.682	11127656	TRUE
Brassica_oleracea	1	Marker266995	30.487	5706184	TRUE
Brassica_oleracea	1	Marker255464	33.021	4996498	TRUE
Brassica_oleracea	1	Marker257111	35.555	4877089	TRUE
Brassica_oleracea	1	Marker255347	40.635	4471804	TRUE
Brassica_oleracea	1	Marker262782	40.635	4818772	TRUE
Brassica_oleracea	1	Marker270853	40.635	4801485	TRUE
Brassica_oleracea	1	Marker242430	41.901	2633156	TRUE
Brassica_oleracea	1	Marker244303	41.901	3064285	TRUE
Brassica_oleracea	1	Marker248692	41.901	2591858	TRUE
Brassica_oleracea	1	Marker250570	41.901	3963909	TRUE
Brassica_oleracea	1	Marker253982	41.901	3698011	TRUE
Brassica_oleracea	1	Marker254417	41.901	2084233	TRUE
Brassica_oleracea	1	Marker255769	41.901	2570949	TRUE
Brassica_oleracea	1	Marker256083	41.901	2710893	TRUE
Brassica_oleracea	1	Marker256535	41.901	3058995	TRUE
Brassica_oleracea	1	Marker261595	41.901	2704270	TRUE
Brassica_oleracea	1	Marker264520	41.901	2611839	TRUE
Brassica_oleracea	1	Marker269712	41.901	2216612	TRUE
Brassica_oleracea	1	Marker270242	41.901	3892391	TRUE
Brassica_oleracea	2	Marker149296	0	43497931	TRUE
Brassica_oleracea	2	Marker155066	0	44037535	TRUE
Brassica_oleracea	2	Marker157260	0	44002433	TRUE
Brassica_oleracea	2	Marker158876	0	43955671	TRUE
Brassica_oleracea	2	Marker159742	0	43985900	TRUE
Brassica_oleracea	2	Marker164655	0	42783956	TRUE
Brassica_oleracea	2	Marker164964	0	43980282	TRUE
Brassica_oleracea	2	Marker166345	0	43800071	TRUE
Brassica_oleracea	2	Marker166932	0	43539346	TRUE
Brassica_oleracea	2	Marker168561	0	44004884	TRUE
Brassica_oleracea	2	Marker169814	0	42786893	TRUE
Brassica_oleracea	2	Marker146811	1.266	40797194	TRUE
Brassica_oleracea	2	Marker154052	1.266	40774081	TRUE
Brassica_oleracea	2	Marker168937	1.266	40202391	TRUE
Brassica_oleracea	2	Marker147793	2.532	39310380	TRUE
Brassica_oleracea	2	Marker150224	2.532	39258077	TRUE
Brassica_oleracea	2	Marker158710	2.532	39317077	TRUE
Brassica_oleracea	2	Marker164939	3.798	38792157	TRUE
Brassica_oleracea	2	Marker142568	5.064	37966750	TRUE
Brassica_oleracea	2	Marker156937	5.064	38504849	TRUE
Brassica_oleracea	2	Marker167183	5.064	38430005	TRUE
Brassica_oleracea	2	Marker154264	6.33	37948681	TRUE
Brassica_oleracea	2	Marker158282	6.33	37513871	TRUE
Brassica_oleracea	2	Marker160373	6.33	37938177	TRUE
Brassica_oleracea	2	Marker163399	6.33	37955679	TRUE
Brassica_oleracea	2	Marker165048	6.33	37489258	TRUE
Brassica_oleracea	2	Marker152146	7.597	34614717	TRUE
Brassica_oleracea	2	Marker159193	7.597	34279800	TRUE
Brassica_oleracea	2	Marker169018	7.597	34328821	TRUE
Brassica_oleracea	2	Marker139980	8.863	32302302	TRUE
Brassica_oleracea	2	Marker140113	8.863	32767121	TRUE
Brassica_oleracea	2	Marker140772	8.863	34266412	TRUE
Brassica_oleracea	2	Marker141621	8.863	32766867	TRUE
Brassica_oleracea	2	Marker143630	8.863	32318697	TRUE
Brassica_oleracea	2	Marker144371	8.863	32758653	TRUE
Brassica_oleracea	2	Marker146041	8.863	32526720	TRUE
Brassica_oleracea	2	Marker149152	8.863	32393211	TRUE
Brassica_oleracea	2	Marker149492	8.863	32277728	TRUE
Brassica_oleracea	2	Marker150414	8.863	32581627	TRUE
Brassica_oleracea	2	Marker153340	8.863	32340568	TRUE
Brassica_oleracea	2	Marker154097	8.863	32783289	TRUE
Brassica_oleracea	2	Marker155813	8.863	34266063	TRUE
Brassica_oleracea	2	Marker157419	8.863	32255430	TRUE
Brassica_oleracea	2	Marker158088	8.863	32238929	TRUE
Brassica_oleracea	2	Marker158460	8.863	32215072	TRUE
Brassica_oleracea	2	Marker158823	8.863	33872334	TRUE
Brassica_oleracea	2	Marker160572	8.863	32760869	TRUE
Brassica_oleracea	2	Marker160994	8.863	32138690	TRUE
Brassica_oleracea	2	Marker164439	8.863	32266931	TRUE
Brassica_oleracea	2	Marker164536	8.863	33648648	TRUE
Brassica_oleracea	2	Marker166065	8.863	32391062	TRUE
Brassica_oleracea	2	Marker139700	10.129	30365770	TRUE
Brassica_oleracea	2	Marker140863	10.129	31914554	TRUE
Brassica_oleracea	2	Marker144801	10.129	30362913	TRUE
Brassica_oleracea	2	Marker151180	10.129	30439286	TRUE
Brassica_oleracea	2	Marker152431	10.129	30360497	TRUE
Brassica_oleracea	2	Marker152587	10.129	30355331	TRUE
Brassica_oleracea	2	Marker152774	10.129	31946840	TRUE
Brassica_oleracea	2	Marker153627	10.129	30972349	TRUE
Brassica_oleracea	2	Marker155032	10.129	30019064	TRUE
Brassica_oleracea	2	Marker159589	10.129	29696418	TRUE
Brassica_oleracea	2	Marker160958	10.129	30146537	TRUE
Brassica_oleracea	2	Marker161241	10.129	31972770	TRUE
Brassica_oleracea	2	Marker167052	10.129	30188946	TRUE
Brassica_oleracea	2	Marker167758	10.129	30370472	TRUE
Brassica_oleracea	2	Marker151422	11.395	28350490	TRUE
Brassica_oleracea	2	Marker156498	11.395	28750566	TRUE
Brassica_oleracea	2	Marker158752	11.395	29222312	TRUE
Brassica_oleracea	2	Marker164535	11.395	29143687	TRUE
Brassica_oleracea	2	Marker140340	12.661	24701414	TRUE
Brassica_oleracea	2	Marker140519	12.661	22585849	TRUE
