set	map	mkr	phys	gen	vld
Capsella_rubella_Slotte2013	1	1	490835	0	TRUE
Capsella_rubella_Slotte2013	1	2	531581	0.08720857	TRUE
Capsella_rubella_Slotte2013	1	3	562791	0.17924567	TRUE
Capsella_rubella_Slotte2013	1	4	878097	0.3635925	TRUE
Capsella_rubella_Slotte2013	1	5	1335264	0.57423719	TRUE
Capsella_rubella_Slotte2013	1	6	1729483	1.10385477	TRUE
Capsella_rubella_Slotte2013	1	7	1812214	1.19536884	TRUE
Capsella_rubella_Slotte2013	1	8	1943815	1.286905	TRUE
Capsella_rubella_Slotte2013	1	9	2013594	1.37843886	TRUE
Capsella_rubella_Slotte2013	1	10	2138400	1.51584201	TRUE
Capsella_rubella_Slotte2013	1	11	2172141	1.65324465	TRUE
Capsella_rubella_Slotte2013	1	12	2322651	1.74477835	TRUE
Capsella_rubella_Slotte2013	1	13	2393449	1.83631436	TRUE
Capsella_rubella_Slotte2013	1	14	2422337	1.92785036	TRUE
Capsella_rubella_Slotte2013	1	15	2702192	2.01938652	TRUE
Capsella_rubella_Slotte2013	1	16	2795647	2.11092267	TRUE
Capsella_rubella_Slotte2013	1	17	2863208	2.20244962	TRUE
Capsella_rubella_Slotte2013	1	18	3093951	2.47784065	TRUE
Capsella_rubella_Slotte2013	1	19	3319868	2.84412705	TRUE
Capsella_rubella_Slotte2013	1	20	3397801	3.0930973	TRUE
Capsella_rubella_Slotte2013	1	21	3447360	3.23034291	TRUE
Capsella_rubella_Slotte2013	1	22	3564310	3.34636839	TRUE
Capsella_rubella_Slotte2013	1	23	3642349	3.52746393	TRUE
Capsella_rubella_Slotte2013	1	24	3761512	3.67047898	TRUE
Capsella_rubella_Slotte2013	1	25	4007891	3.93496425	TRUE
Capsella_rubella_Slotte2013	1	26	4189461	4.57042673	TRUE
Capsella_rubella_Slotte2013	1	27	4215149	4.76553574	TRUE
Capsella_rubella_Slotte2013	1	28	4296892	4.92374114	TRUE
Capsella_rubella_Slotte2013	1	29	4411425	5.14255085	TRUE
Capsella_rubella_Slotte2013	1	30	4580905	5.340332	TRUE
Capsella_rubella_Slotte2013	1	31	4659306	5.48285999	TRUE
Capsella_rubella_Slotte2013	1	32	4761530	5.98004562	TRUE
Capsella_rubella_Slotte2013	1	33	4853657	6.39329052	TRUE
Capsella_rubella_Slotte2013	1	34	4899708	6.52010166	TRUE
Capsella_rubella_Slotte2013	1	35	5048995	6.84155161	TRUE
Capsella_rubella_Slotte2013	1	36	5300457	7.13372748	TRUE
Capsella_rubella_Slotte2013	1	37	5393654	7.25148689	TRUE
Capsella_rubella_Slotte2013	1	38	5539698	7.43464735	TRUE
Capsella_rubella_Slotte2013	1	39	5642496	7.61780698	TRUE
