Marker	Chr	cM
lm1295	LG01	0
lm1291	LG01	1.806
lm1465	LG01	4.151
lm1471	LG01	6.582
lm1466	LG01	7.193
lm1447	LG01	11.541
lm1446	LG01	13.69
lm1445	LG01	14.092
lm1444	LG01	14.566
lm1271	LG01	16.056
lm1451	LG01	17.735
lm1449	LG01	18.048
lm1452	LG01	18.99
lm1454	LG01	20.24
lm1453	LG01	20.566
lm1784	LG01	25.82
lm1998	LG01	29.491
lm1277	LG01	32.235
lm1278	LG01	32.733
lm1279	LG01	33.316
lm1280	LG01	33.664
lm1276	LG01	35.051
lm1272	LG01	35.377
lm2341	LG01	36.139
lm2340	LG01	36.581
hk0195	LG01	38.09
hk0194	LG01	38.118
hk0196	LG01	38.408
lm2108	LG01	39.819
hk0332	LG01	40.333
hk0331	LG01	40.361
hk0329	LG01	40.397
hk0327	LG01	40.433
hk0325	LG01	40.586
lm2106	LG01	40.75
lm2105	LG01	40.99
lm1785	LG01	42.436
lm1642	LG01	43.366
lm1641	LG01	43.735
lm1640	LG01	43.852
lm1644	LG01	45
lm1996	LG01	48.145
lm2242	LG01	49.67
lm2244	LG01	50.076
lm2243	LG01	51.003
lm1994	LG01	52.406
lm1995	LG01	52.773
lm1992	LG01	53.572
lm2370	LG01	56.636
lm2369	LG01	56.989
lm1016	LG01	59.608
lm1990	LG01	62.434
lm1542	LG01	64.383
lm1543	LG01	64.752
lm1807	LG01	68.656
lm1806	LG01	69.926
lm0967	LG01	76.047
lm0968	LG01	77.963
lm0964	LG01	80.841
lm1160	LG01	87.668
lm1159	LG01	88.372
lm1158	LG01	88.583
lm2192	LG01	92.036
lm2197	LG01	93.119
lm2195	LG01	94.538
lm2196	LG01	95.596
lm2194	LG01	97.54
lm1269	LG01	100.265
lm1268	LG01	101.748
lm1656	LG02	0
lm1655	LG02	3.182
lm1654	LG02	5.349
lm1394	LG02	9.131
lm1389	LG02	11.619
lm1388	LG02	13.33
lm1387	LG02	14.128
lm1385	LG02	15.708
lm1386	LG02	16.411
lm1384	LG02	17.677
lm1383	LG02	20.246
lm1051	LG02	25.903
lm1053	LG02	26.334
lm1057	LG02	27.215
lm1058	LG02	27.499
hk0617	LG02	28.519
lm1054	LG02	28.597
lm1055	LG02	29.196
hk0619	LG02	30.169
hk0615	LG02	30.323
lm1537	LG02	34.652
lm1536	LG02	36.162
lm2335	LG02	39.655
lm0757	LG02	42.436
lm0754	LG02	44.981
lm0752	LG02	47.141
lm2276	LG02	55.364
lm2277	LG02	55.887
lm2278	LG02	58.284
lm0814	LG02	63.502
lm0815	LG02	65.199
lm1129	LG02	70.84
lm1128	LG02	71.875
lm1125	LG02	76.185
lm1126	LG02	77.375
lm2116	LG02	82.986
lm2117	LG02	84.573
lm1803	LG02	89.958
lm1013	LG03	0
lm1317	LG03	2.028
lm0941	LG03	3.855
lm1318	LG03	5.962
lm0943	LG03	8.178
lm0944	LG03	8.455
lm0945	LG03	9.596
lm0772	LG03	12.594
lm0770	LG03	13.226
lm0776	LG03	14.403
lm0773	LG03	14.801
lm1316	LG03	16.969
lm1314	LG03	17.319
lm1312	LG03	19.376
lm1309	LG03	19.665
lm0979	LG03	20.649
lm0980	LG03	21.475
lm1323	LG03	21.962
lm1319	LG03	22.192
lm1320	LG03	22.615
lm0975	LG03	22.997
lm0981	LG03	23.275
lm0978	LG03	24.173
lm0977	LG03	25.088
lm0982	LG03	29.555
lm1398	LG03	34.755
lm1739	LG03	36.087
lm1741	LG03	37.517
lm1740	LG03	38.356
lm1635	LG03	43.431
lm1636	LG03	44.149
lm1638	LG03	45.145
lm1637	LG03	45.741
lm2271	LG03	48.206
lm2272	LG03	48.588
lm2273	LG03	48.892
lm2275	LG03	49.647
lm2270	LG03	51.938
lm1970	LG03	56.068
lm1969	LG03	57.006
lm1971	LG03	57.991
lm1975	LG03	59.747
lm1973	LG03	60.963
lm1262	LG03	63.383
lm1261	LG03	64.616
lm1263	LG03	66.311
lm2397	LG03	69.411
lm2398	LG03	70.392
lm1690	LG03	72.039
lm2393	LG03	73.373
lm2392	LG03	73.867
lm2396	LG03	75.607
lm1552	LG03	77.671
lm1553	LG03	78.579
lm1554	LG03	78.863
lm1555	LG03	79.301
lm1557	LG03	79.874
lm1551	LG03	80.446
lm1872	LG03	82.317
lm1869	LG03	83.649
lm1868	LG03	84.065
lm1867	LG03	84.753
lm1865	LG03	85.403
lm1870	LG03	86.069
lm1875	LG03	86.732
lm1873	LG03	87.019
lm1876	LG03	87.879
hk0430	LG03	88.497
lm1689	LG03	89.167
lm1879	LG03	89.853
hk0432	LG03	90.111
hk0428	LG03	90.38
lm1162	LG03	91.046
lm1881	LG03	91.582
lm1880	LG03	92.325
lm2128	LG03	94.124
lm1371	LG03	94.811
lm1372	LG03	95.641
lm2131	LG03	96.276
lm2127	LG03	96.871
hk0135	LG03	97.101
lm2130	LG03	97.414
hk0139	LG03	97.941
hk0136	LG03	98.038
hk0140	LG03	98.07
hk0250	LG03	98.105
hk0251	LG03	98.165
hk0141	LG03	98.179
hk0137	LG03	98.285
lm0889	LG03	99.871
lm0893	LG03	100.471
lm0892	LG03	100.715
lm0885	LG03	101.17
lm0887	LG03	101.419
lm0888	LG03	101.606
lm1558	LG03	102.157
lm1560	LG03	102.264
lm0894	LG03	102.667
lm1561	LG03	102.982
lm1570	LG03	103.261
lm1571	LG03	103.344
lm1577	LG03	103.83
lm1574	LG03	103.947
lm1564	LG03	104.231
lm1578	LG03	104.75
lm1569	LG03	105.605
lm1565	LG03	105.954
lm1567	LG03	106.312
lm1566	LG03	106.468
lm1568	LG03	106.629
lm1580	LG03	107.933
lm0853	LG03	109.003
lm0852	LG03	109.187
lm1581	LG03	109.648
lm1589	LG03	109.959
lm1590	LG03	110.067
lm1592	LG03	110.549
lm1591	LG03	110.756
lm1588	LG03	111.148
lm1583	LG03	112.401
lm1585	LG03	112.573
lm0854	LG03	114.938
lm0855	LG03	115.204
lm0858	LG03	115.633
lm0856	LG03	115.986
lm0857	LG03	116.218
lm0859	LG03	117.265
lm0867	LG03	118.598
lm0872	LG03	119.438
lm0874	LG03	119.638
lm0870	LG03	120.146
lm0877	LG03	121.182
lm0875	LG03	121.819
lm0879	LG03	122.5
lm0880	LG03	123.078
lm2068	LG03	124.595
lm2069	LG03	124.992
hk0519	LG03	125.361
hk0521	LG03	125.442
hk0522	LG03	125.538
hk0523	LG03	125.672
hk0520	LG03	125.765
lm2067	LG03	126.279
lm2079	LG03	127.5
lm2080	LG03	128.043
lm2075	LG03	128.699
lm2076	LG03	129.021
lm2078	LG03	129.405
lm2077	LG03	130.056
lm2071	LG03	130.711
lm2082	LG03	131.274
lm2085	LG03	131.873
lm2094	LG03	132.444
lm2096	LG03	133.141
lm2093	LG03	133.368
lm2081	LG03	135.064
lm2092	LG03	137.77
lm2389	LG03	143.388
lm2388	LG03	144.238
lm1099	LG03	145.546
lm1106	LG03	147.056
lm1102	LG03	148.679
lm1100	LG03	150.018
lm1101	LG03	150.306
lm1062	LG03	152.447
lm1063	LG03	152.951
lm1065	LG03	153.57
lm1061	LG03	155.416
lm1060	LG03	155.805
lm1626	LG03	158.205
lm1627	LG03	158.847
lm1630	LG03	159.71
lm1632	LG03	162.208
lm1634	LG03	162.372
lm1633	LG03	163.185
lm0928	LG03	165.955
lm0930	LG03	167.266
lm0931	LG03	167.642
lm0933	LG03	169.012
lm0934	LG03	170.408
lm2048	LG03	173.935
lm2047	LG03	174.753
lm0761	LG03	177.102
lm0759	LG03	177.797
lm0760	LG03	178.784
lm1738	LG03	181.976
lm1735	LG03	183.968
lm1736	LG03	184.689
lm1266	LG04	0
lm1104	LG04	0.678
lm2402	LG04	3.424
lm2403	LG04	3.741
lm2401	LG04	4.24
lm2404	LG04	4.838
hk0635	LG04	7.35
hk0638	LG04	7.959
hk0639	LG04	7.963
hk0637	LG04	8.008
hk0634	LG04	8.238
hk0245	LG04	8.329
hk0640	LG04	8.453
hk0060	LG04	8.708
hk0381	LG04	9.021
hk0380	LG04	9.023
hk0321	LG04	9.368
hk0608	LG04	9.61
hk0322	LG04	9.612
hk0319	LG04	9.753
hk0606	LG04	9.823
hk0318	LG04	9.939
hk0633	LG04	10.516
hk0317	LG04	10.785
hk0315	LG04	11.204
lm2409	LG04	13.802
lm1512	LG04	17.196
lm1515	LG04	18.023
hk0282	LG04	19.335
hk0685	LG04	19.413
hk0683	LG04	19.498
lm1482	LG04	20.56
lm1481	LG04	21.081
lm1479	LG04	21.891
lm1486	LG04	23.457
lm1484	LG04	23.793
lm1483	LG04	24.602
lm1487	LG04	24.829
hk0294	LG04	25.536
hk0292	LG04	25.567
lm1153	LG04	28.396
lm1509	LG04	31.327
lm1508	LG04	32.337
lm1510	LG04	34.445
lm1511	LG04	35.732
lm2442	LG04	38.4
lm1103	LG04	40.715
lm1507	LG04	43.206
lm1669	LG05	0
lm2022	LG05	10.701
lm2023	LG05	11.28
hk0508	LG05	15.462
lm1683	LG05	16.746
hk0510	LG05	17.352
lm1682	LG05	18.209
lm1679	LG05	18.774
lm1684	LG05	19.557
lm0732	LG05	23.213
lm2125	LG05	26.385
lm2126	LG05	29.686
lm1841	LG05	34.508
lm1839	LG05	35.297
lm1833	LG05	36.519
lm1834	LG05	37.805
lm1838	LG05	38.361
lm1836	LG05	39.128
lm1837	LG05	39.34
lm1840	LG05	41.145
lm1842	LG05	41.96
lm1491	LG05	44.98
lm1678	LG05	46.219
lm1202	LG05	48.444
lm1493	LG05	49.866
lm0895	LG05	51.183
lm0708	LG05	54.564
lm0707	LG05	55.135
lm0710	LG05	56.015
lm0711	LG05	56.325
lm0706	LG05	57.029
lm0714	LG05	57.432
lm0719	LG05	60.263
