Marker	Chr	cM
CaGSNP1508	LG01	0
CaGSNP3774	LG01	5.857
CaGSNP2537	LG01	10.939
CaGSNP2386	LG01	13.518
CaGSNP950	LG01	14.639
CaGSNP1127	LG01	14.83
CaGSNP3829	LG01	16.445
CaGSNP3520	LG01	17.753
CaGSNP121	LG01	18.296
CaGSNP2124	LG01	19.126
CaGSNP1661	LG01	20.56
CaGSNP1924	LG01	20.842
CaGSNP149	LG01	21.072
CaGSNP176	LG01	21.823
CaGSNP1946	LG01	22.359
CaGSNP3726	LG01	22.822
CaGSNP3863	LG01	23.052
CaGSNP655	LG01	23.16
CaGSNP2249	LG01	24.515
CaGSNP1187	LG01	24.6
CaGSNP2557	LG01	24.823
CaGSNP3809	LG01	25.836
CaGSNP774	LG01	26.484
CaGSNP3849	LG01	27.004
CaGSNP3187	LG01	27.128
CaGSNP3727	LG01	27.312
CaGSNP392	LG01	27.461
CaGSNP1294	LG01	27.793
CaGSNP1427	LG01	27.844
CaGSNP371	LG01	28.248
CaGSNP704	LG01	28.338
CaGSNP2492	LG01	28.479
CaGSNP280	LG01	28.95
CaGSNP3725	LG01	28.984
CaGSNP184	LG01	29.375
CaGSNP2218	LG01	29.519
CaGSNP3498	LG01	30.207
CESSR207	LG01	30.271
CaGSNP1789	LG01	30.329
CaGSNP708	LG01	30.72
CaGSNP134	LG01	30.804
CaGSNP1465	LG01	30.986
CaGSNP1435	LG01	31.462
CaGSNP2097	LG01	31.594
CaGSNP2394	LG01	31.606
CaGSNP318	LG01	31.616
CaGSNP1801	LG01	31.712
CaGSNP2651	LG01	31.821
CaGSNP1042	LG01	32.177
CaGSNP2294	LG01	32.297
CaGSNP1110	LG01	32.319
CaGSNP1685	LG01	32.323
CaGSNP2863	LG01	32.331
CaGSNP2427	LG01	32.396
CaGSNP319	LG01	32.476
CaGSNP112	LG01	32.663
CaGSNP1712	LG01	32.775
CaGSNP288	LG01	32.83
CaGSNP2318	LG01	33.292
CaGSNP810	LG01	33.445
CaGSNP1068	LG01	33.493
CaGSNP1043	LG01	33.502
CaGSNP3724	LG01	33.545
CaGSNP450	LG01	33.706
CaGSNP322	LG01	33.753
CaGSNP1466	LG01	33.937
CaGSNP1312	LG01	33.942
CaGSNP2864	LG01	34.109
