phys	rec.rate	upper	lower
0.05	NA	NA	NA
0.15	NA	NA	NA
0.25	NA	NA	NA
0.35	NA	NA	NA
0.45	NA	NA	NA
0.55	NA	NA	NA
0.65	NA	NA	NA
0.75	NA	NA	NA
0.85	NA	NA	NA
0.95	NA	NA	NA
1.05	NA	NA	NA
1.15	NA	NA	NA
1.25	NA	NA	NA
1.35	NA	NA	NA
1.45	NA	NA	NA
1.55	NA	NA	NA
1.65	NA	NA	NA
1.75	NA	NA	NA
1.85	NA	NA	NA
1.95	NA	NA	NA
2.05	NA	NA	NA
2.15	NA	NA	NA
2.25	NA	NA	NA
2.35	NA	NA	NA
2.45	NA	NA	NA
2.55	NA	NA	NA
2.65	NA	NA	NA
2.75	NA	NA	NA
2.85	NA	NA	NA
2.95	NA	NA	NA
3.05	NA	NA	NA
3.15	NA	NA	NA
3.25	NA	NA	NA
3.35	NA	NA	NA
3.45	NA	NA	NA
3.55	NA	NA	NA
3.65	NA	NA	NA
3.75	NA	NA	NA
3.85	NA	NA	NA
3.95	NA	NA	NA
4.05	NA	NA	NA
4.15	NA	NA	NA
4.25	NA	NA	NA
4.35	NA	NA	NA
4.45	NA	NA	NA
4.55	NA	NA	NA
4.65	NA	NA	NA
4.75	NA	NA	NA
4.85	NA	NA	NA
4.95	NA	NA	NA
5.05	NA	NA	NA
5.15	NA	NA	NA
5.25	NA	NA	NA
5.35	NA	NA	NA
5.45	NA	NA	NA
5.55	NA	NA	NA
5.65	NA	NA	NA
5.75	NA	NA	NA
5.85	NA	NA	NA
5.95	NA	NA	NA
6.05	NA	NA	NA
6.15	NA	NA	NA
6.25	NA	NA	NA
6.35	NA	NA	NA
6.45	NA	NA	NA
6.55	NA	NA	NA
6.65	NA	NA	NA
6.75	NA	NA	NA
6.85	NA	NA	NA
6.95	0.42954007797044	0.559567669670693	0.290001366974255
7.05	0.430119699796496	0.558977677237856	0.29196116093245
7.15	0.430700228972232	0.558325325488593	0.294009879747236
