Marker	Chr	cM
TMHB87P17c	A01	0
TMHB87P17b	A01	3.245
DPL0149	A01	7.74
TMHB87P17d	A01	9.639
TMHB87P17a	A01	10.785
Marker6	A01	21.396
Marker47	A01	22.901
Marker48	A01	23.268
Marker49	A01	27.644
Marker104	A01	30.339
Marker146	A01	30.339
Marker147	A01	30.707
Marker151	A01	31.448
Marker150	A01	31.448
Marker149	A01	31.448
Marker152	A01	32.567
Marker153	A01	32.567
Marker154	A01	32.935
Marker155	A01	33.676
Marker158	A01	33.676
Marker166	A01	39.855
Marker167	A01	41.749
Marker168	A01	41.749
Marker170	A01	41.749
Marker171	A01	41.749
Marker173	A01	41.749
Marker174	A01	41.749
Marker192	A01	41.749
Marker194	A01	42.263
Marker193	A01	42.263
Marker198	A01	42.263
Marker200	A01	43.077
Marker206	A01	43.077
Marker207	A01	43.077
Marker210	A01	43.077
Marker211	A01	43.077
Marker208	A01	43.077
Marker201	A01	43.077
Marker205	A01	43.077
Marker204	A01	43.077
Marker199	A01	43.077
Marker202	A01	43.518
Marker197	A01	43.518
Marker203	A01	43.518
Marker195	A01	43.958
Marker196	A01	43.958
Marker191	A01	44.399
Marker188	A01	44.84
Marker187	A01	44.84
Marker186	A01	44.84
Marker175	A01	44.84
Marker176	A01	45.207
Marker177	A01	45.207
Marker178	A01	45.207
Marker180	A01	45.207
Marker181	A01	45.207
Marker182	A01	45.207
Marker183	A01	45.207
Marker184	A01	45.207
Marker185	A01	45.207
Marker212	A01	45.953
Marker213	A01	45.953
Marker214	A01	45.953
Marker215	A01	45.953
Marker216	A01	45.953
Marker217	A01	45.953
Marker223	A01	46.324
Marker179	A01	46.324
Marker172	A01	46.324
Marker229	A01	46.694
Marker231	A01	47.822
Marker233	A01	48.193
Marker234	A01	48.193
Marker232	A01	48.563
Marker235	A01	49.309
Marker238	A01	49.309
Marker239	A01	49.309
Marker236	A01	49.309
Marker258	A01	49.309
Marker271	A01	50.837
Marker272	A01	51.973
Marker274	A01	53.101
Marker297	A01	53.471
Marker309	A01	53.842
Marker370	A01	53.842
Marker387	A01	54.97
Marker396	A01	54.97
Marker401	A01	55.34
Marker412	A01	61.103
Marker415	A01	64.232
Marker417	A01	66.142
Marker418	A01	66.888
Marker436	A01	67.258
Marker429	A01	67.626
Marker430	A01	68.367
Marker442	A01	68.367
Marker451	A01	69.108
Marker453	A01	69.108
Marker431	A01	69.848
Marker434	A01	70.216
Marker439	A01	70.216
Marker444	A01	70.216
Marker446	A01	70.216
Marker459	A01	70.216
Marker455	A01	70.587
Marker460	A01	71.333
Marker457	A01	71.703
Marker464	A01	72.074
Marker467	A01	72.444
Marker470	A01	72.444
Marker473	A01	72.444
Marker474	A01	72.814
Marker492	A01	73.561
Marker483	A01	74.689
Marker487	A01	75.817
Marker493	A01	76.333
Marker498	A01	77.152
Marker494	A01	77.596
Marker501	A01	78.039
Marker502	A01	78.331
Marker516	A01	78.623
Marker508	A01	78.915
Marker503	A01	79.207
Marker506	A01	79.499
Marker500	A01	79.94
Marker529	A01	79.94
Marker524	A01	79.94
Marker522	A01	80.68
Marker510	A01	80.68
Marker521	A01	80.68
Marker518	A01	81.048
Marker525	A01	81.789
Marker526	A01	82.53
Marker527	A01	84.034
Marker533	A01	84.402
Marker576	A01	85.906
Marker2466	A01	92.136
Marker2467	A01	94.446
Marker2468	A01	98.391
Marker2509	A01	102.767
Marker2510	A01	105.462
Marker2514	A01	106.966
Marker2515	A01	108.861
Marker2517	A01	108.861
Marker2521	A01	109.602
Marker2522	A01	109.602
Marker2524	A01	109.602
Marker2523	A01	109.602
Marker2530	A01	109.602
Marker2518	A01	109.602
Marker2519	A01	109.602
Marker2520	A01	109.602
Marker2531	A01	109.602
Marker2532	A01	109.602
Marker2533	A01	109.602
Marker2534	A01	109.602
Marker2535	A01	110.042
Marker2536	A01	110.042
Marker2537	A01	110.042
Marker2538	A01	110.41
Marker2545	A01	114.355
Marker2546	A01	115.096
Marker2547	A01	115.464
Marker2549	A01	116.583
Marker2550	A01	118.478
Marker2553	A01	123.739
Marker2554	A01	124.107
Marker2555	A01	124.848
Marker2556	A01	125.215
Marker2559	A01	126.72
Marker2560	A01	127.46
Marker2561	A01	128.201
Marker2566	A01	128.569
Marker2567	A01	128.569
Marker2562	A01	128.569
Marker2563	A01	128.569
Marker2564	A01	128.569
Marker2565	A01	128.569
Marker2568	A01	128.937
Marker2569	A01	129.677
Marker2570	A01	131.587
Marker2571	A01	131.957
Marker2572	A01	132.325
Marker2573	A01	132.325
NAU2437	A01	132.325
Marker2575	A01	132.325
Marker2576	A01	132.325
Marker2579	A01	132.617
Marker2577	A01	132.909
Marker2578	A01	133.201
CGR5250	A02	0
Marker2658	A02	1.128
Marker2641	A02	1.498
Marker2662	A02	2.626
Marker2665	A02	3.373
Marker2708	A02	4.888
Marker2672	A02	5.259
Marker2711	A02	6.774
Marker2729	A02	9.903
Marker2749	A02	11.419
Marker2737	A02	11.789
Marker2755	A02	13.305
Marker2770	A02	14.051
Marker2773	A02	16.767
Marker2774	A02	19.077
HAU0569	A02	22.206
Marker2779	A02	24.921
Marker2786	A02	26.831
Marker2788	A02	27.577
Marker2801	A02	30.706
Marker2980	A02	37.265
Marker2984	A02	41.896
Marker2986	A02	42.339
Marker3001	A02	43.759
Marker3048	A02	43.759
Marker3093	A02	44.59
Marker3412	A02	45.634
Marker3413	A02	46.459
Marker3417	A02	46.832
Marker3418	A02	47.205
Marker3420	A02	48.721
Marker3421	A02	49.237
Marker3422	A02	50.438
Marker3423	A02	50.882
Marker3424	A02	51.325
Marker3425	A02	51.325
Marker3426	A02	51.325
Marker3427	A02	51.325
Marker3428	A02	51.695
Marker3429	A02	51.695
Marker3430	A02	51.695
Marker3431	A02	52.066
Marker3432	A02	52.436
Marker3433	A02	52.436
Marker3434	A02	52.436
Marker3435	A02	53.255
Marker3436	A02	53.255
Marker3437	A02	54.148
Marker3523	A02	55.663
Marker3519	A02	55.663
Marker3520	A02	55.663
Marker3521	A02	55.663
Marker3522	A02	55.663
Marker3518	A02	55.955
Marker3516	A02	56.247
Marker3517	A02	56.539
Marker3513	A02	56.985
Marker3512	A02	57.277
Marker3515	A02	57.569
Marker3514	A02	57.569
Marker3510	A02	57.861
Marker3509	A02	58.153
Marker3511	A02	58.445
Marker3508	A02	59.108
Marker3507	A02	60.146
Marker3506	A02	60.438
Marker3505	A02	60.881
Marker3503	A02	60.881
Marker3504	A02	60.881
Marker3500	A02	61.628
Marker3501	A02	61.998
Marker3502	A02	61.998
Marker3466	A02	63.66
Marker3462	A02	64.103
Marker3461	A02	64.103
Marker3441	A02	67.799
Marker3440	A02	68.546
Marker3438	A02	68.546
Marker3525	A02	69.438
Marker3524	A02	69.881
Marker3526	A02	70.633
Marker3529	A02	71.006
Marker3530	A02	71.006
Marker3528	A02	71.006
Marker3527	A02	71.45
Marker3443	A02	72.342
Marker3444	A02	72.713
Marker3445	A02	72.713
Marker3446	A02	72.713
Marker3447	A02	72.713
Marker3451	A02	72.713
Marker3457	A02	72.713
Marker3459	A02	72.713
Marker3458	A02	72.713
Marker3460	A02	73.156
Marker3486	A02	73.156
Marker3468	A02	73.599
Marker3469	A02	73.599
Marker3465	A02	73.599
Marker3471	A02	73.599
Marker3472	A02	73.599
Marker3487	A02	73.599
Marker3475	A02	73.891
Marker3476	A02	73.891
Marker3478	A02	73.891
Marker3474	A02	73.891
Marker3473	A02	73.891
Marker3485	A02	74.183
Marker3484	A02	74.475
Marker3483	A02	74.767
Marker3480	A02	75.059
Marker3479	A02	75.351
Marker3493	A02	76.013
Marker3497	A02	76.013
Marker3489	A02	76.013
Marker3490	A02	76.013
Marker3491	A02	76.013
Marker3492	A02	76.013
Marker3488	A02	76.457
Marker3531	A02	76.973
Marker3532	A02	77.344
Marker3533	A02	77.714
Marker3534	A02	78.084
Marker3535	A02	78.084
Marker3536	A02	78.084
Marker3537	A02	78.458
Marker3553	A02	81.688
Marker3555	A02	84.892
Marker3556	A02	85.785
Marker3557	A02	86.228
Marker3558	A02	86.89
Marker3559	A02	87.182
Marker3560	A02	87.693
Marker3561	A02	89.513
Marker3562	A02	89.805
Marker3563	A02	90.467
Marker3564	A02	90.91
Marker3565	A02	92.111
Marker3566	A02	93.773
Marker3568	A02	94.217
Marker3570	A02	94.217
Marker3571	A02	95.109
Marker3572	A02	95.479
Marker3573	A02	95.479
Marker3574	A02	95.479
Marker3575	A02	96.142
Marker3579	A02	96.434
Marker3580	A02	97.096
Marker3581	A02	97.758
Marker3583	A02	99.235
Marker3584	A02	99.892
Marker3582	A02	100.549
Marker3585	A02	101.649
Marker3586	A02	102.312
Marker3587	A02	102.974
Marker3593	A02	103.637
Marker3591	A02	104.299
Marker3588	A02	104.961
Marker3595	A02	105.624
Marker3596	A02	105.624
Marker3597	A02	106.067
Marker3598	A02	106.511
Marker3600	A02	106.511
Marker3601	A02	106.511
Marker3605	A02	107.173
Marker3602	A02	107.465
Marker3603	A02	107.908
Marker3604	A02	108.2
Marker3606	A02	108.492
Marker3607	A02	109.155
Marker3609	A02	109.817
Marker3608	A02	110.479
Marker3610	A02	110.99
Marker3611	A02	111.647
