set	map	mkr	phys	gen	vld
Solanum_tuberosum_Endelman2016	1	c2_36608	251132	0	TRUE
Solanum_tuberosum_Endelman2016	1	c2_36658	269400	0.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_36664	535454	0.4	TRUE
Solanum_tuberosum_Endelman2016	1	c1_10924	551280	0.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_36668	559640	0.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_6793	1314398	0.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_6865	1513856	1.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_6684	1828475	4.8	TRUE
Solanum_tuberosum_Endelman2016	1	c2_21078	2497514	6.2	TRUE
Solanum_tuberosum_Endelman2016	1	c1_6674	2822433	7.2	TRUE
Solanum_tuberosum_Endelman2016	1	c2_21227	2951280	7.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_21233	2956117	7.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_21234	2956294	7.6	TRUE
Solanum_tuberosum_Endelman2016	1	c1_6704	2957398	7.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_21235	2958391	7.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_21236	2958410	7.9	TRUE
Solanum_tuberosum_Endelman2016	1	c1_6123	3296181	10.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_19261	3921601	10.9	TRUE
Solanum_tuberosum_Endelman2016	1	c2_19420	4013257	10.9	TRUE
Solanum_tuberosum_Endelman2016	1	c2_51808	4258451	10.9	TRUE
Solanum_tuberosum_Endelman2016	1	c2_51806	4262027	10.9	TRUE
Solanum_tuberosum_Endelman2016	1	c2_51800	4277333	10.9	TRUE
Solanum_tuberosum_Endelman2016	1	c2_55009	4952099	11	TRUE
Solanum_tuberosum_Endelman2016	1	c2_55010	4952171	11	TRUE
Solanum_tuberosum_Endelman2016	1	c2_55012	4954114	11	TRUE
Solanum_tuberosum_Endelman2016	1	c2_56125	5291766	11.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_45058	5347312	11.7	TRUE
Solanum_tuberosum_Endelman2016	1	c1_13304	5380841	11.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_45071	5386865	11.7	TRUE
Solanum_tuberosum_Endelman2016	1	c1_13318	5431075	11.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_45056	5477755	12	TRUE
Solanum_tuberosum_Endelman2016	1	c2_45064	5502048	12	TRUE
Solanum_tuberosum_Endelman2016	1	c1_13289	5505021	12	TRUE
Solanum_tuberosum_Endelman2016	1	c1_13293	5505313	12.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27882	6071776	12.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27884	6071878	12.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27885	6071917	12.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27887	6142925	12.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27893	6190256	12.9	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27899	6303615	14.1	TRUE
Solanum_tuberosum_Endelman2016	1	c1_8619	6529837	14.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27918	6587872	14.2	TRUE
Solanum_tuberosum_Endelman2016	1	c2_50010	7444530	15.2	TRUE
Solanum_tuberosum_Endelman2016	1	c2_39571	8217938	15.9	TRUE
Solanum_tuberosum_Endelman2016	1	c2_52705	8653509	16.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_2333	23352659	16.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_43898	23428447	17.2	TRUE
Solanum_tuberosum_Endelman2016	1	c2_54760	19761929	17.2	TRUE
Solanum_tuberosum_Endelman2016	1	c2_52209	17493996	17.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_53521	13266749	18.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_50023	43196026	18.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_49042	43330728	18.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_43970	13545189	18.8	TRUE
Solanum_tuberosum_Endelman2016	1	c2_43973	13546944	18.8	TRUE
Solanum_tuberosum_Endelman2016	1	c1_8908	13655916	19.2	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14647	41947310	19.5	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14648	41947383	19.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_49720	41947512	19.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_49723	41949328	19.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_49724	41949345	19.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_49726	41949463	19.6	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14654	41979122	19.6	TRUE
Solanum_tuberosum_Endelman2016	1	c1_12152	52318789	19.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_41440	52487658	19.6	TRUE
Solanum_tuberosum_Endelman2016	1	c2_2873	55163677	21.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_55618	55427702	21.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_54301	13869853	21.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_54304	13881376	21.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_54353	13747185	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_52130	15328933	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_44625	16108682	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_57185	16912211	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_48568	17370636	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_53759	18753971	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14664	19663894	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_49759	19666602	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c1_15714	39325733	22.1	TRUE
Solanum_tuberosum_Endelman2016	1	c2_22545	29679855	22.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_22531	29684899	22.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_24682	30930917	22.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_54308	31088895	22.5	TRUE
Solanum_tuberosum_Endelman2016	1	c1_11066	32091882	22.6	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14956	35477582	23	TRUE
Solanum_tuberosum_Endelman2016	1	c1_3693	36413189	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_27680	37067730	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c1_8534	37070639	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c1_8541	37276804	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_35221	47297907	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_35220	47299582	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_35218	47299905	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_14939	47761676	23.4	TRUE
Solanum_tuberosum_Endelman2016	1	c2_40131	45751290	23.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_40112	45757713	23.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_40105	45777798	23.7	TRUE
Solanum_tuberosum_Endelman2016	1	c2_57284	11774418	24.4	FALSE
Solanum_tuberosum_Endelman2016	1	c1_16169	44194124	24.4	TRUE
Solanum_tuberosum_Endelman2016	1	c1_15452	44430030	24.4	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14248	44696588	24.4	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14249	44696600	24.4	TRUE
Solanum_tuberosum_Endelman2016	1	c1_14261	44702400	24.5	TRUE
Solanum_tuberosum_Endelman2016	1	c2_53708	44890251	24.5	TRUE
Solanum_tuberosum_Endelman2016	1	c1_12858	11395918	24.9	FALSE
Solanum_tuberosum_Endelman2016	1	c1_14629	58020235	25.7	TRUE
