phys	rec.rate	upper	lower
0.8283015	0	0	0
1.035528	0	0	0
1.320835	0	0	0
1.6425995	49.0333040682619	69.0013985777086	38.8838146860051
1.7078035	0	0	0
1.860437	0	0	0
2.2079815	0	0	0
2.5733745	0	0	0
2.7693985	0	0	0
3.0958305	0	0	0
3.4893335	0	0	0
3.6041355	0	0	0
3.7194665	0	0	0
3.9841905	0	0	0
4.13892	0	0	0
4.1750025	0	0	0
4.577321	0	0	0
5.098897	77.7264532813143	97.4719447500459	59.6671327774481
5.3586845	0	0	0
5.5782005	0	0	0
5.712498	0	0	0
5.781406	0	0	0
5.922531	0	0	0
6.077699	0	0	0
6.257745	0	0	0
6.39121	0	0	0
6.6207165	0	0	0
6.905466	0	0	0
7.1312315	0	0	0
7.345824	2.13130937869698	2.99980445422238	1.62686537332974
7.846959	20.9247942690737	27.6906198369852	13.0599782164745
9.348736	0	0	0
11.201925	184.545727623752	229.345996722667	133.814441938181
12.10415	0	0	0
12.327704	0	0	0
12.474973	3.64310956741214	4.025889456805	2.84560301576279
12.8835275	0	0	0
13.5007145	0	0	0
13.7439185	0	0	0
13.7787575	0	0	0
13.869705	0	0	0
13.961798	0	0	0
14.126518	0	0	0
14.3865135	0	0	0
15.004281	0	0	0
15.5751465	2.58735253208548	2.87817764201007	2.34167008257614
16.1090455	33.5023627741823	37.7615495336257	28.5367218297352
16.611216	0	0	0
16.735188	0.424685352965466	0.477323834430046	0.367763538774112
17.116432	0	0	0
17.490445	0	0	0
17.784537	0	0	0
18.09333	0	0	0
18.209923	0	0	0
18.423434	0	0	0
19.004931	0	0	0
20.323783	0	0	0
21.656719	0	0	0
22.9910445	0	0	0
24.0737875	0	0	0
24.716937	0	0	0
25.475282	0	0	0
25.8649345	0	0	0
26.1374655	0	0	0
26.3661595	0	0.0257329499442656	0
27.0861275	0	0.0145477436130467	0
28.223696	0	0.178833362467254	0
35.27613	0	0	0
43.705644	14.5668933670749	22.6999470823024	8.14651484283073
46.0051365	0	0	0
46.6461555	0	0	0
48.3189735	0	0	0
50.848606	0	0	0
52.4322945	0	0	0
53.0077835	0	0	0
53.647612	0	0	0
54.36644	0	0	0
54.5151975	0	0	0
54.60767	0	0	0
54.8391615	0	0	0
55.1015025	0	0	0
55.2098255	0	0	0
55.2285295	0	0	0
55.7089905	0	0	0
56.586765	0	0	0
57.3337995	0	0	0
57.749703	6.40009331726059	7.79295018207807	5.31303418876782
58.1476305	0	0	0
58.5682985	0	0	0
58.6917415	0	0	0
58.749126	0	0	0
58.7855575	0	0	0
58.7965615	0	0	0
58.940669	0	0	0
59.135702	0	0	0
59.2918765	0	0	0
59.4923535	0	0	0
60.0026515	0	0	0
61.028041	32.6172164147559	35.7640658205864	26.8983972827904
62.2393495	0	0	0
63.0027515	0	0	0
63.261669	0	0	0
63.413634	0	0	0
63.5373375	0	0	0
64.1241115	0	0	0
65.123261	0	0	0
65.602355	0.950631457632412	1.12943803899389	0.788358273649517
65.637108	0	0	0
65.6945065	0	0	0
65.849862	0	0	0
