set	map	mkr	phys	gen	vld
Cenchrus_americanus_Pucher2017	1	S1_322689	322689	0	TRUE
Cenchrus_americanus_Pucher2017	1	S1_2227343	2227343	0.554839387773572	TRUE
Cenchrus_americanus_Pucher2017	1	S1_7438772	7438772	1.62524644878713	TRUE
Cenchrus_americanus_Pucher2017	1	S1_7482025	7482025	1.89134813694057	TRUE
Cenchrus_americanus_Pucher2017	1	S1_8387985	8387985	7.1242834066531	TRUE
Cenchrus_americanus_Pucher2017	1	S1_9733611	9733611	8.46499534158959	TRUE
Cenchrus_americanus_Pucher2017	1	S1_10554986	10554986	9.80540739795583	TRUE
Cenchrus_americanus_Pucher2017	1	S1_11964733	11964733	10.3389224759062	TRUE
Cenchrus_americanus_Pucher2017	1	S1_12536171	12536171	11.409354995732	TRUE
Cenchrus_americanus_Pucher2017	1	S1_13133453	13133453	14.1125032806143	TRUE
Cenchrus_americanus_Pucher2017	1	S1_13432097	13432097	14.914034355319	TRUE
Cenchrus_americanus_Pucher2017	1	S1_15448451	15448451	15.4475168138411	TRUE
Cenchrus_americanus_Pucher2017	1	S1_16523151	16523151	16.349045426398	TRUE
Cenchrus_americanus_Pucher2017	1	S1_18289259	18289259	17.8588662633523	TRUE
Cenchrus_americanus_Pucher2017	1	S1_23376826	23376826	19.4694134684805	TRUE
Cenchrus_americanus_Pucher2017	1	S1_22375305	22375305	20.0028788729175	TRUE
Cenchrus_americanus_Pucher2017	1	S1_19841985	19841985	20.5363054336795	TRUE
Cenchrus_americanus_Pucher2017	1	S1_21271892	21271892	20.8026177399734	TRUE
Cenchrus_americanus_Pucher2017	1	S1_23675513	23675513	21.3360674574915	TRUE
Cenchrus_americanus_Pucher2017	1	S1_23763624	23763624	21.6024068532145	TRUE
Cenchrus_americanus_Pucher2017	1	S1_24873151	24873151	21.8687462489376	TRUE
Cenchrus_americanus_Pucher2017	1	S1_25364375	25364375	22.4022113455555	TRUE
Cenchrus_americanus_Pucher2017	1	S1_29143864	29143864	26.21091815297	TRUE
Cenchrus_americanus_Pucher2017	1	S1_31922616	31922616	26.4772613445479	TRUE
Cenchrus_americanus_Pucher2017	1	S1_33896233	33896233	26.7436049993557	TRUE
Cenchrus_americanus_Pucher2017	1	S1_35445304	35445304	27.0099444063877	TRUE
Cenchrus_americanus_Pucher2017	1	S1_36063037	36063037	27.2762837568994	TRUE
Cenchrus_americanus_Pucher2017	1	S1_38343135	38343135	28.6160971754317	TRUE
Cenchrus_americanus_Pucher2017	1	S1_40536287	40536287	29.1495778699406	TRUE
Cenchrus_americanus_Pucher2017	1	S1_40557155	40557155	29.1672622349154	TRUE
Cenchrus_americanus_Pucher2017	1	S1_42094686	42094686	29.4566129904193	TRUE
Cenchrus_americanus_Pucher2017	1	S1_47531997	47531997	31.3016868275105	TRUE
Cenchrus_americanus_Pucher2017	1	S1_43008837	43008837	32.6412018984958	TRUE
Cenchrus_americanus_Pucher2017	1	S1_51631988	51631988	33.174597487213	TRUE
Cenchrus_americanus_Pucher2017	1	S1_48564644	48564644	33.4409021853074	TRUE
Cenchrus_americanus_Pucher2017	1	S1_45447000	45447000	33.9743377156462	TRUE
Cenchrus_americanus_Pucher2017	1	S1_44352562	44352562	34.2406771113664	TRUE
Cenchrus_americanus_Pucher2017	1	S1_52924474	52924474	35.3107309694078	TRUE
Cenchrus_americanus_Pucher2017	1	S1_57817277	57817277	35.8441228940654	TRUE
Cenchrus_americanus_Pucher2017	1	S1_62834827	62834827	36.1104600508006	TRUE
Cenchrus_americanus_Pucher2017	1	S1_65819306	65819306	36.2971983526553	TRUE
Cenchrus_americanus_Pucher2017	1	S1_69685517	69685517	36.3885855964717	TRUE
Cenchrus_americanus_Pucher2017	1	S1_70174303	70174303	36.6549261060875	TRUE
Cenchrus_americanus_Pucher2017	1	S1_70431859	70431859	37.1883450517166	TRUE
Cenchrus_americanus_Pucher2017	1	S1_76612809	76612809	38.5276611377638	TRUE
Cenchrus_americanus_Pucher2017	1	S1_76844470	76844470	38.7939682228425	TRUE
Cenchrus_americanus_Pucher2017	1	S1_79444940	79444940	39.3273720075727	TRUE
Cenchrus_americanus_Pucher2017	1	S1_80168672	80168672	40.1287278305664	TRUE
Cenchrus_americanus_Pucher2017	1	S1_104215506	104215506	40.9301753973752	TRUE
Cenchrus_americanus_Pucher2017	1	S1_122153887	122153887	41.286997829245	TRUE
Cenchrus_americanus_Pucher2017	1	S1_138466195	138466195	41.6437934613638	TRUE
Cenchrus_americanus_Pucher2017	1	S1_92589879	92589879	42.1182614135683	TRUE
Cenchrus_americanus_Pucher2017	1	S1_179105619	179105619	45.8172111885734	TRUE
Cenchrus_americanus_Pucher2017	1	S1_215065837	215065837	46.0835563893508	TRUE
Cenchrus_americanus_Pucher2017	1	S1_223543429	223543429	46.3498959857408	TRUE
Cenchrus_americanus_Pucher2017	1	S1_227073989	227073989	46.6162316779617	TRUE
Cenchrus_americanus_Pucher2017	1	S1_232183782	232183782	46.8825681701825	TRUE
